Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Alaska,US,2021-01-02 05:30:44,61.3707,-152.4044,47019,206,7165.0,39648.0,2.0,6427.355801762024,1275750.0,,0.4381207596928901,84000002.0,USA,174391.1857780451,,2021-01-01,,,,0.0,,0.0
Alaska,US,2021-01-03 05:30:33,61.3707,-152.4044,47821,215,7165.0,40441.0,2.0,6536.986788235857,1290349.0,,0.4495932749210597,84000002.0,USA,176386.82514404444,,2021-01-02,,,47019,802.0,206,9.0
Alaska,US,2021-01-04 05:30:45,61.3707,-152.4044,48118,215,7165.0,40738.0,2.0,6577.585794448735,1293837.0,,0.4468182384970281,84000002.0,USA,176863.6242473122,,2021-01-03,,,47821,297.0,215,0.0
Alaska,US,2021-01-05 05:30:33,61.3707,-152.4044,48382,218,7165.0,40999.0,2.0,6613.673799971293,1297498.0,,0.4505807945103551,84000002.0,USA,177364.0719299565,,2021-01-04,,,48118,264.0,215,3.0
Alaska,US,2021-01-06 05:30:39,61.3707,-152.4044,48582,218,7165.0,41199.0,2.0,6641.013198094444,1302859.0,,0.4487258655469103,84000002.0,USA,178096.9044966475,,2021-01-05,,,48382,200.0,218,0.0
Alaska,US,2021-01-07 05:30:38,61.3707,-152.4044,48922,220,7165.0,41537.0,2.0,6687.4901749038,1311015.0,,0.4496954335472793,84000002.0,USA,179211.80515210953,,2021-01-06,,,48582,340.0,218,2.0
Alaska,US,2021-01-08 05:30:47,61.3707,-152.4044,49255,223,7165.0,41867.0,2.0,6733.010272778844,1326542.0,,0.4527459141203939,84000002.0,USA,181334.29932540035,,2021-01-07,,,48922,333.0,220,3.0
Alaska,US,2021-01-09 05:30:45,61.3707,-152.4044,49660,223,7165.0,42272.0,2.0,6788.3725539782245,1337749.0,,0.4490535642368103,84000002.0,USA,182866.2624992311,,2021-01-08,,,49255,405.0,223,0.0
Alaska,US,2021-01-10 05:30:28,61.3707,-152.4044,49979,224,7165.0,42590.0,2.0,6831.9788939846485,1345573.0,,0.4481882390604054,84000002.0,USA,183935.77975380872,,2021-01-09,,,49660,319.0,223,1.0
Alaska,US,2021-01-11 05:30:40,61.3707,-152.4044,50238,224,7165.0,42849.0,2.0,6867.383414554129,1352480.0,,0.4458776225168199,84000002.0,USA,184879.9458679917,,2021-01-10,,,49979,259.0,224,0.0
