Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Delaware,US,2021-01-02 05:30:44,39.3185,-75.5071,58064,1065,18851.0,38148.0,10.0,5962.841099075341,1021582.0,,1.8341829705152928,84000010.0,USA,1.0491063543117223e-05,,2021-01-01,,,,0.0,,0.0
Delaware,US,2021-01-03 05:30:33,39.3185,-75.5071,58873,1072,18851.0,38950.0,10.0,6045.920777518988,1031875.0,,1.8208686494657995,84000010.0,USA,1.0596766773057948e-05,,2021-01-02,,,58064,809.0,1065,7.0
Delaware,US,2021-01-04 05:30:45,39.3185,-75.5071,59484,1080,18851.0,39553.0,10.0,6108.666987072843,1037092.0,,1.8156142828323585,84000010.0,USA,1.0650342382753931e-05,,2021-01-03,,,58873,611.0,1072,8.0
Delaware,US,2021-01-05 05:30:33,39.3185,-75.5071,60333,1085,18851.0,40397.0,10.0,6195.854437009378,1047225.0,,1.7983524770855088,84000010.0,USA,1.0754402504097503e-05,,2021-01-04,,,59484,849.0,1080,5.0
Delaware,US,2021-01-06 05:30:39,39.3185,-75.5071,61100,1093,18851.0,41156.0,10.0,6274.620955385494,1056660.0,,1.7888707037643208,84000010.0,USA,1.0851294564185982e-05,,2021-01-05,,,60333,767.0,1085,8.0
Delaware,US,2021-01-07 05:30:38,39.3185,-75.5071,61729,1102,18851.0,41776.0,10.0,6339.215662111148,1062838.0,,1.7852225048194528,84000010.0,USA,1.0914739094893629e-05,,2021-01-06,,,61100,629.0,1093,9.0
Delaware,US,2021-01-08 05:30:47,39.3185,-75.5071,62949,1112,18851.0,42986.0,10.0,6464.502692644213,1071193.0,,1.7665093964955758,84000010.0,USA,1.1000540171951316e-05,,2021-01-07,,,61729,1220.0,1102,10.0
Delaware,US,2021-01-09 05:30:45,39.3185,-75.5071,63503,1116,18851.0,43536.0,10.0,6521.395327820704,1083611.0,,1.7573972883170874,84000010.0,USA,1.1128065937948004e-05,,2021-01-08,,,62949,554.0,1112,4.0
Delaware,US,2021-01-10 05:30:28,39.3185,-75.5071,64475,1128,18851.0,44496.0,10.0,6621.214175097868,1093470.0,,1.749515316013959,84000010.0,USA,1.1229312235818943e-05,,2021-01-09,,,63503,972.0,1116,12.0
Delaware,US,2021-01-11 05:30:40,39.3185,-75.5071,65273,1137,18851.0,45285.0,10.0,6703.164216380971,1099242.0,,1.741914727375791,84000010.0,USA,1.128858737846131e-05,,2021-01-10,,,64475,798.0,1128,9.0
Delaware,US,2021-01-12 05:30:28,39.3185,-75.5071,65827,1146,18851.0,45830.0,10.0,6760.056851557461,1109056.0,,1.7409269752533154,84000010.0,USA,1.1389371552039304e-05,,2021-01-11,,,65273,554.0,1137,9.0
Delaware,US,2021-01-13 05:30:34,39.3185,-75.5071,66446,1157,18851.0,46438.0,10.0,6823.624615409894,1119527.0,,1.7412635824579357,84000010.0,USA,1.1496902740294364e-05,,2021-01-12,,,65827,619.0,1146,11.0
Delaware,US,2021-01-14 05:30:28,39.3185,-75.5071,67173,1166,18851.0,47156.0,10.0,6898.283362293122,1127177.0,,1.7358164738808748,84000010.0,USA,1.1575463870095837e-05,,2021-01-13,,,66446,727.0,1157,9.0
Delaware,US,2021-01-15 05:30:28,39.3185,-75.5071,68065,1178,18851.0,48036.0,10.0,6989.886666584512,1137856.0,,1.7306985969294058,84000010.0,USA,1.1685131099527195e-05,,2021-01-14,,,67173,892.0,1166,12.0
Delaware,US,2021-01-16 05:30:49,39.3185,-75.5071,68727,1182,18851.0,48694.0,10.0,7057.8702847917975,1146724.0,,1.719848094635296,84000010.0,USA,1.177620039352451e-05,,2021-01-15,,,68065,662.0,1178,4.0
Delaware,US,2021-01-17 05:30:35,39.3185,-75.5071,69372,1188,18851.0,49333.0,10.0,7124.108100114607,1154740.0,,1.7125064867669952,84000010.0,USA,1.1858520134241972e-05,,2021-01-16,,,68727,645.0,1182,6.0
Delaware,US,2021-01-18 05:30:33,39.3185,-75.5071,70294,1200,18851.0,50243.0,10.0,7218.792233025661,1160979.0,,1.707115827808917,84000010.0,USA,1.1922591100102285e-05,,2021-01-17,,,69372,922.0,1188,12.0
Delaware,US,2021-01-19 05:30:28,39.3185,-75.5071,70910,1210,18851.0,50849.0,10.0,7282.051914016127,1168029.0,,1.7063883796361583,84000010.0,USA,1.1994990572664422e-05,,2021-01-18,,,70294,616.0,1200,10.0
Delaware,US,2021-01-20 05:30:46,39.3185,-75.5071,71311,1219,18851.0,51241.0,10.0,7323.232323232323,1176958.0,,1.7094136949418743,84000010.0,USA,1.2086686301814404e-05,,2021-01-19,,,70910,401.0,1210,9.0
Delaware,US,2021-01-21 05:30:34,39.3185,-75.5071,71775,1228,18851.0,51696.0,10.0,7370.882472549817,1187216.0,,1.710902124695228,84000010.0,USA,1.21920301017495e-05,,2021-01-20,,,71311,464.0,1219,9.0
Delaware,US,2021-01-22 05:30:39,39.3185,-75.5071,72523,1241,,,10.0,7447.697799466811,1196338.0,,1.7111812804213835,84000010.0,USA,1.22857078306448e-05,,2021-01-21,,,71775,748.0,1228,13.0
Delaware,US,2021-01-23 05:30:27,39.3185,-75.5071,73233,1252,,,10.0,7520.610743465562,1205679.0,,1.709611787035899,84000010.0,USA,1.2381634564432447e-05,,2021-01-22,,,72523,710.0,1241,11.0
