Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
District of Columbia,US,2021-01-02 05:30:44,38.8974,-77.0268,29252,788,20941.0,7523.0,11.0,4144.816358223675,904302.0,,2.6938329003145083,84000011.0,USA,128133.65658328951,,2021-01-01,,,,0.0,,0.0
District of Columbia,US,2021-01-03 05:30:33,38.8974,-77.0268,29509,792,21002.0,7715.0,11.0,4181.231570997621,911378.0,,2.683926937544478,84000011.0,USA,129136.27932876984,,2021-01-02,,,29252,257.0,788,4.0
District of Columbia,US,2021-01-04 05:30:45,38.8974,-77.0268,29764,794,21072.0,7898.0,11.0,4217.363396901731,918000.0,,2.667652197285311,84000011.0,USA,130074.5732547974,,2021-01-03,,,29509,255.0,792,2.0
District of Columbia,US,2021-01-05 05:30:33,38.8974,-77.0268,29904,797,21127.0,7980.0,11.0,4237.200477790263,921119.0,,2.665195291599786,84000011.0,USA,130516.51507830688,,2021-01-04,,,29764,140.0,794,3.0
District of Columbia,US,2021-01-06 05:30:39,38.8974,-77.0268,30166,801,21337.0,8028.0,11.0,4274.3241577388,926717.0,,2.655307299608831,84000011.0,USA,131309.71492697828,,2021-01-05,,,29904,262.0,797,4.0
District of Columbia,US,2021-01-07 05:30:38,38.8974,-77.0268,30482,806,21461.0,8215.0,11.0,4319.099283172913,932102.0,,2.644183452529361,84000011.0,USA,132072.73407401214,,2021-01-06,,,30166,316.0,801,5.0
District of Columbia,US,2021-01-08 05:30:47,38.8974,-77.0268,30750,808,21660.0,8282.0,11.0,4357.073123730958,937035.0,,2.627642276422764,84000011.0,USA,132771.70778846304,,2021-01-07,,,30482,268.0,806,2.0
District of Columbia,US,2021-01-09 05:30:45,38.8974,-77.0268,31107,809,21851.0,8447.0,11.0,4407.657679996712,943818.0,,2.6007008068923394,84000011.0,USA,133732.81435751234,,2021-01-08,,,30750,357.0,808,1.0
District of Columbia,US,2021-01-10 05:30:28,38.8974,-77.0268,31457,813,22042.0,8602.0,11.0,4457.250382218041,950762.0,,2.584480401818355,84000011.0,USA,134716.7335695835,,2021-01-09,,,31107,350.0,809,4.0
District of Columbia,US,2021-01-11 05:30:40,38.8974,-77.0268,31791,817,22153.0,8821.0,11.0,4504.57598948068,957350.0,,2.569909722877544,84000011.0,USA,135650.20991882382,,2021-01-10,,,31457,334.0,813,4.0
District of Columbia,US,2021-01-12 05:30:28,38.8974,-77.0268,31993,821,22153.0,9019.0,11.0,4533.198063334132,960916.0,,2.5661863532647766,84000011.0,USA,136155.4887077417,,2021-01-11,,,31791,202.0,817,4.0
