Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Florida,US,2021-01-02 05:30:44,27.7663,-81.6868,1323315,21673,,,12.0,6161.333477544678,17392558.0,,1.6377808760574768,84000012.0,USA,80979.47190618825,,2021-01-01,,,,0.0,,0.0
Florida,US,2021-01-03 05:30:33,27.7663,-81.6868,1354833,21890,,,12.0,6308.080781508778,17451529.0,,1.615697285200464,84000012.0,USA,81254.03993912393,,2021-01-02,,,1323315,31518.0,21673,217.0
Florida,US,2021-01-04 05:30:45,27.7663,-81.6868,1365436,21987,,,12.0,6357.448179945587,17513696.0,,1.6102548929426206,84000012.0,USA,81543.48849694918,,2021-01-03,,,1354833,10603.0,21890,97.0
Florida,US,2021-01-05 05:30:33,27.7663,-81.6868,1376692,22090,,,12.0,6409.85593593962,17630355.0,,1.6045709570477638,84000012.0,USA,82086.6509353383,,2021-01-04,,,1365436,11256.0,21987,103.0
Florida,US,2021-01-06 05:30:39,27.7663,-81.6868,1392123,22188,,,12.0,6481.702425167046,17779402.0,,1.5938246835947685,84000012.0,USA,82780.61138377847,,2021-01-05,,,1376692,15431.0,22090,98.0
Florida,US,2021-01-07 05:30:38,27.7663,-81.6868,1409906,22317,,,12.0,6564.499788781285,17927045.0,,1.5828714822122891,84000012.0,USA,83468.0348306714,,2021-01-06,,,1392123,17783.0,22188,129.0
Florida,US,2021-01-08 05:30:47,27.7663,-81.6868,1429722,22481,,,12.0,6656.762767883786,18070454.0,,1.5724035861517134,84000012.0,USA,84135.74484127449,,2021-01-07,,,1409906,19816.0,22317,164.0
Florida,US,2021-01-09 05:30:45,27.7663,-81.6868,1449252,22666,,,12.0,6747.694135559998,18210240.0,,1.563979211344887,84000012.0,USA,84786.58622181657,,2021-01-08,,,1429722,19530.0,22481,185.0
Florida,US,2021-01-10 05:30:28,27.7663,-81.6868,1464697,22804,,,12.0,6819.605808563537,18310576.0,,1.5569090398901615,84000012.0,USA,85253.74903324312,,2021-01-09,,,1449252,15445.0,22666,138.0
Florida,US,2021-01-11 05:30:40,27.7663,-81.6868,1477010,22912,,,12.0,6876.934939654024,18376821.0,,1.55124203627599,84000012.0,USA,85562.18469385299,,2021-01-10,,,1464697,12313.0,22804,108.0
Florida,US,2021-01-12 05:30:28,27.7663,-81.6868,1488586,23071,,,12.0,6930.832610530616,18498155.0,,1.5498600685482733,84000012.0,USA,86127.11385747949,,2021-01-11,,,1477010,11576.0,22912,159.0
Florida,US,2021-01-13 05:30:34,27.7663,-81.6868,1503482,23227,,,12.0,7000.188148313763,18629052.0,,1.5448804841029025,84000012.0,USA,86736.56819617448,,2021-01-12,,,1488586,14896.0,23071,156.0
Florida,US,2021-01-14 05:30:28,27.7663,-81.6868,1517472,23396,,,12.0,7065.325364585664,18777007.0,,1.5417747411484364,84000012.0,USA,87425.44431007792,,2021-01-13,,,1503482,13990.0,23227,169.0
Florida,US,2021-01-15 05:30:28,27.7663,-81.6868,1531192,23613,,,12.0,7129.205465175404,18911391.0,,1.5421318815667793,84000012.0,USA,88051.13406500881,,2021-01-14,,,1517472,13720.0,23396,217.0
Florida,US,2021-01-16 05:30:49,27.7663,-81.6868,1548067,23799,,,12.0,7207.775195310382,19035605.0,,1.537336562306412,84000012.0,USA,88629.47246257834,,2021-01-15,,,1531192,16875.0,23613,186.0
Florida,US,2021-01-17 05:30:35,27.7663,-81.6868,1560186,24004,,,12.0,7264.201065503316,19127384.0,,1.538534508065064,84000012.0,USA,89056.79401884845,,2021-01-16,,,1548067,12119.0,23799,205.0
Florida,US,2021-01-18 05:30:33,27.7663,-81.6868,1571279,24137,,,12.0,7315.849896104045,19188326.0,,1.536137121415102,84000012.0,USA,89340.5389962639,,2021-01-17,,,1560186,11093.0,24004,133.0
