Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Georgia,US,2021-01-02 05:30:44,33.0406,-83.6431,677589,10958,,,13.0,6381.859326881862,5401054.0,,1.6172045295894708,84000013.0,USA,50869.726109621886,,2021-01-01,,,,0.0,,0.0
Georgia,US,2021-01-03 05:30:33,33.0406,-83.6431,685122,10960,,,13.0,6452.808746529172,5436988.0,,1.5997150872399368,84000013.0,USA,51208.16981672483,,2021-01-02,,,677589,7533.0,10958,2.0
Georgia,US,2021-01-04 05:30:45,33.0406,-83.6431,690900,10964,,,13.0,6507.228731491625,5462241.0,,1.586915617310754,84000013.0,USA,51446.014725042034,,2021-01-03,,,685122,5778.0,10960,4.0
Georgia,US,2021-01-05 05:30:33,33.0406,-83.6431,696063,10971,,,13.0,6555.856350453401,5482790.0,,1.5761504346589317,84000013.0,USA,51639.555097315046,,2021-01-04,,,690900,5163.0,10964,7.0
Georgia,US,2021-01-06 05:30:39,33.0406,-83.6431,706154,11072,,,13.0,6650.898245271004,5509880.0,,1.5679299416274637,84000013.0,USA,51894.70175578387,,2021-01-05,,,696063,10091.0,10971,101.0
Georgia,US,2021-01-07 05:30:38,33.0406,-83.6431,713840,11165,,,13.0,6723.288692557507,5523221.0,,1.5640759834136502,84000013.0,USA,52020.35371483269,,2021-01-06,,,706154,7686.0,11072,93.0
Georgia,US,2021-01-08 05:30:47,33.0406,-83.6431,723630,11230,,,13.0,6815.495624503234,5569613.0,,1.5518980694553846,84000013.0,USA,52457.29589939104,,2021-01-07,,,713840,9790.0,11165,65.0
Georgia,US,2021-01-09 05:30:45,33.0406,-83.6431,736926,11314,,,13.0,6940.723751893468,5583994.0,,1.5352966240843722,84000013.0,USA,52592.74307899384,,2021-01-08,,,723630,13296.0,11230,84.0
Georgia,US,2021-01-10 05:30:28,33.0406,-83.6431,748852,11457,,,13.0,7053.048559900081,5632471.0,,1.5299418309625934,84000013.0,USA,53049.32279706667,,2021-01-09,,,736926,11926.0,11314,143.0
Georgia,US,2021-01-11 05:30:40,33.0406,-83.6431,757045,11458,,,13.0,7130.214177206653,5672290.0,,1.5135163695685196,84000013.0,USA,53424.35730402754,,2021-01-10,,,748852,8193.0,11457,1.0
Georgia,US,2021-01-12 05:30:28,33.0406,-83.6431,764499,11475,,,13.0,7200.419536831112,5708060.0,,1.5009829967076478,84000013.0,USA,53761.25638019697,,2021-01-11,,,757045,7454.0,11458,17.0
Georgia,US,2021-01-13 05:30:34,33.0406,-83.6431,773692,11662,,,13.0,7287.003635439598,5737862.0,,1.507318157613107,84000013.0,USA,54041.945959956574,,2021-01-12,,,764499,9193.0,11475,187.0
Georgia,US,2021-01-14 05:30:28,33.0406,-83.6431,782288,11803,,,13.0,7367.964900710841,5763974.0,,1.5087793753707075,84000013.0,USA,54287.88134371212,,2021-01-13,,,773692,8596.0,11662,141.0
Georgia,US,2021-01-15 05:30:28,33.0406,-83.6431,791324,11975,,,13.0,7453.070297754926,5801007.0,,1.5132865931021933,84000013.0,USA,54636.67596176586,,2021-01-14,,,782288,9036.0,11803,172.0
Georgia,US,2021-01-16 05:30:49,33.0406,-83.6431,801130,12138,,,13.0,7545.427925401484,5844021.0,,1.5151099072560008,84000013.0,USA,55041.802516486336,,2021-01-15,,,791324,9806.0,11975,163.0
Georgia,US,2021-01-17 05:30:35,33.0406,-83.6431,809663,12291,,,13.0,7625.795826350707,5887700.0,,1.5180389865907171,84000013.0,USA,55453.1923612726,,2021-01-16,,,801130,8533.0,12138,153.0
Georgia,US,2021-01-18 05:30:33,33.0406,-83.6431,815995,12296,,,13.0,7685.43364995442,5925441.0,,1.5068719783822204,84000013.0,USA,55808.65526408808,,2021-01-17,,,809663,6332.0,12291,5.0
Georgia,US,2021-01-19 05:30:28,33.0406,-83.6431,820952,12360,,,13.0,7732.121061768002,5957306.0,,1.505569144115612,84000013.0,USA,56108.77517077355,,2021-01-18,,,815995,4957.0,12296,64.0
Georgia,US,2021-01-20 05:30:46,33.0406,-83.6431,828581,12572,,,13.0,7803.974655620295,5988737.0,,1.5172928174795222,84000013.0,USA,56404.80745657397,,2021-01-19,,,820952,7629.0,12360,212.0
Georgia,US,2021-01-21 05:30:34,33.0406,-83.6431,836649,12778,,,13.0,7879.962962764128,6033197.0,,1.5272832454231104,84000013.0,USA,56823.55313525702,,2021-01-20,,,828581,8068.0,12572,206.0
Georgia,US,2021-01-22 05:30:39,33.0406,-83.6431,844799,12889,,,13.0,7956.723585374719,6072614.0,,1.5256883590061068,84000013.0,USA,57194.80141273452,,2021-01-21,,,836649,8150.0,12778,111.0
Georgia,US,2021-01-23 05:30:27,33.0406,-83.6431,853173,13060,,,13.0,8035.593947796937,6122066.0,,1.5307563647700997,84000013.0,USA,57660.56415007672,,2021-01-22,,,844799,8374.0,12889,171.0
Georgia,US,2021-01-24 05:30:28,33.0406,-83.6431,862158,13246,,,13.0,8120.219002294624,6174470.0,,1.5363773229500857,84000013.0,USA,58154.13024422216,,2021-01-23,,,853173,8985.0,13060,186.0
Georgia,US,2021-01-25 05:30:45,33.0406,-83.6431,866911,13250,,,13.0,8164.985043922617,6208860.0,,1.5284152583137138,84000013.0,USA,58478.03181619496,,2021-01-24,,,862158,4753.0,13246,4.0
Georgia,US,2021-01-26 05:30:28,33.0406,-83.6431,870828,13303,,,13.0,8201.87723518221,6234896.0,,1.5276265806795373,84000013.0,USA,58723.25139537155,,2021-01-25,,,866911,3917.0,13250,53.0
Georgia,US,2021-01-27 05:30:51,33.0406,-83.6431,879221,13482,,,13.0,8280.926548749165,6271545.0,,1.53340286458126,84000013.0,USA,59068.42931660536,,2021-01-26,,,870828,8393.0,13303,179.0
Georgia,US,2021-01-28 05:30:28,33.0406,-83.6431,885605,13643,,,13.0,8341.054133380576,6296044.0,,1.5405287910524443,84000013.0,USA,59299.172690020925,,2021-01-27,,,879221,6384.0,13482,161.0
Georgia,US,2021-01-29 05:30:28,33.0406,-83.6431,892957,13827,,,13.0,8410.29880791224,6338228.0,,1.5484508212601502,84000013.0,USA,59696.48190526082,,2021-01-28,,,885605,7352.0,13643,184.0
Georgia,US,2021-01-30 05:30:40,33.0406,-83.6431,899515,13986,,,13.0,8472.065208290185,6378542.0,,1.5548378848601747,84000013.0,USA,60076.178560466135,,2021-01-29,,,892957,6558.0,13827,159.0
Georgia,US,2021-01-31 05:30:41,33.0406,-83.6431,905858,14196,,,13.0,8531.806635188219,6425042.0,,1.5671330385115547,84000013.0,USA,60514.13794100508,,2021-01-30,,,899515,6343.0,13986,210.0
Georgia,US,2021-02-01 05:30:44,33.0406,-83.6431,909445,14198,,,13.0,8565.59072761818,6452746.0,,1.5611719235357828,84000013.0,USA,60775.06754699328,,2021-01-31,,,905858,3587.0,14196,2.0
Georgia,US,2021-02-02 05:30:40,33.0406,-83.6431,912479,14242,,,13.0,8594.166399888183,6474133.0,,1.560803043138527,84000013.0,USA,60976.500606597285,,2021-02-01,,,909445,3034.0,14198,44.0
Georgia,US,2021-02-03 05:30:38,33.0406,-83.6431,917440,14450,,,13.0,8640.891485626973,6494048.0,,1.5750348796651552,84000013.0,USA,61164.06966172488,,2021-02-02,,,912479,4961.0,14242,208.0
Georgia,US,2021-02-04 05:30:42,33.0406,-83.6431,922364,14587,,,13.0,8687.268087557593,6524223.0,,1.58147976287019,84000013.0,USA,61448.27233501012,,2021-02-03,,,917440,4924.0,14450,137.0
Georgia,US,2021-02-05 05:30:47,33.0406,-83.6431,928070,14756,,,13.0,8741.009941866309,6561635.0,,1.589966274095704,84000013.0,USA,61800.63655747728,,2021-02-04,,,922364,5706.0,14587,169.0
Georgia,US,2021-02-06 05:30:40,33.0406,-83.6431,932912,14858,,,13.0,8786.61422833017,6597050.0,,1.5926475380314542,84000013.0,USA,62134.19207278451,,2021-02-05,,,928070,4842.0,14756,102.0
Georgia,US,2021-02-07 05:30:57,33.0406,-83.6431,937402,15090,,,13.0,8828.90320937576,6628577.0,,1.609768274443622,84000013.0,USA,62431.12853278992,,2021-02-06,,,932912,4490.0,14858,232.0
Georgia,US,2021-02-08 05:30:33,33.0406,-83.6431,940991,15092,,,13.0,8862.706138768324,6664276.0,,1.6038410569282808,84000013.0,USA,62767.35889678692,,2021-02-07,,,937402,3589.0,15090,2.0
Georgia,US,2021-02-09 05:30:43,33.0406,-83.6431,943695,15130,,,13.0,8888.173712208696,6687452.0,,1.6032722436804263,84000013.0,USA,62985.64161944005,,2021-02-08,,,940991,2704.0,15092,38.0
Georgia,US,2021-02-10 05:30:29,33.0406,-83.6431,947416,15301,,,13.0,8923.219881133115,6711587.0,,1.6150244454389624,84000013.0,USA,63212.95666566173,,2021-02-09,,,943695,3721.0,15130,171.0
Georgia,US,2021-02-11 05:30:49,33.0406,-83.6431,950906,15421,,,13.0,8956.09038087679,6734381.0,,1.62171655242474,84000013.0,USA,63427.64152845753,,2021-02-10,,,947416,3490.0,15301,120.0
Georgia,US,2021-02-12 05:30:51,33.0406,-83.6431,955085,15513,,,13.0,8995.450214237484,6765890.0,,1.624253338708073,84000013.0,USA,63724.40845579949,,2021-02-11,,,950906,4179.0,15421,92.0
