Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Hawaii,US,2021-01-02 05:30:44,21.0943,-157.4983,22397,289,11958.0,10150.0,15.0,1581.8520318220856,816811.0,,1.2903513863463856,84000015.0,USA,57689.60753514442,,2021-01-01,,,,0.0,,0.0
Hawaii,US,2021-01-03 05:30:33,21.0943,-157.4983,22448,289,11958.0,10201.0,15.0,1585.4540523437147,822805.0,,1.2874198146828226,84000015.0,USA,58112.95088821589,,2021-01-02,,,22397,51.0,289,0.0
Hawaii,US,2021-01-04 05:30:45,21.0943,-157.4983,22560,289,11958.0,10313.0,15.0,1593.3643719206257,825956.0,,1.2810283687943262,84000015.0,USA,58335.499254169874,,2021-01-03,,,22448,112.0,289,0.0
Hawaii,US,2021-01-05 05:30:33,21.0943,-157.4983,22602,289,11958.0,10355.0,15.0,1596.3307417619671,828410.0,,1.2786479072648438,84000015.0,USA,58508.82000632826,,2021-01-04,,,22560,42.0,289,0.0
Hawaii,US,2021-01-06 05:30:39,21.0943,-157.4983,22757,289,11958.0,10510.0,15.0,1607.278059033585,832476.0,,1.2699389198927802,84000015.0,USA,58795.992858111465,,2021-01-05,,,22602,155.0,289,0.0
Hawaii,US,2021-01-07 05:30:38,21.0943,-157.4983,22917,299,11958.0,10660.0,15.0,1618.5785155720291,836346.0,,1.3047082951520703,84000015.0,USA,59069.32265063509,,2021-01-06,,,22757,160.0,289,10.0
Hawaii,US,2021-01-08 05:30:47,21.0943,-157.4983,23400,299,11958.0,11143.0,15.0,1652.6917687474574,849892.0,,1.2777777777777777,84000015.0,USA,60026.04755232111,,2021-01-07,,,22917,483.0,299,0.0
Hawaii,US,2021-01-09 05:30:45,21.0943,-157.4983,23704,303,11958.0,11443.0,15.0,1674.1626361705014,856526.0,,1.278265271684104,84000015.0,USA,60494.59273154636,,2021-01-08,,,23400,304.0,299,4.0
Hawaii,US,2021-01-10 05:30:28,21.0943,-157.4983,23897,308,11958.0,11631.0,15.0,1687.7938118699994,863028.0,,1.2888647110515965,84000015.0,USA,60953.81503412737,,2021-01-09,,,23704,193.0,303,5.0
Hawaii,US,2021-01-11 05:30:40,21.0943,-157.4983,24045,309,11958.0,11778.0,15.0,1698.2467341680604,869572.0,,1.2850904553961322,84000015.0,USA,61416.00370654975,,2021-01-10,,,23897,148.0,308,1.0
Hawaii,US,2021-01-12 05:30:28,21.0943,-157.4983,24201,309,11958.0,11934.0,15.0,1709.2646792930434,875020.0,,1.2768067435229948,84000015.0,USA,61800.78425168378,,2021-01-11,,,24045,156.0,309,0.0
Hawaii,US,2021-01-13 05:30:34,21.0943,-157.4983,24261,309,11958.0,11994.0,15.0,1713.50235049496,878074.0,,1.2736490664028688,84000015.0,USA,62016.48171586133,,2021-01-12,,,24201,60.0,309,0.0
Hawaii,US,2021-01-14 05:30:28,21.0943,-157.4983,24352,312,11958.0,12082.0,15.0,1719.9294851512002,882893.0,,1.281208935611038,84000015.0,USA,62356.83734122859,,2021-01-13,,,24261,91.0,309,3.0
Hawaii,US,2021-01-15 05:30:28,21.0943,-157.4983,24598,318,11958.0,12322.0,15.0,1737.303937079058,888876.0,,1.2927880315472802,84000015.0,USA,62779.40378791304,,2021-01-14,,,24352,246.0,312,6.0
Hawaii,US,2021-01-16 05:30:49,21.0943,-157.4983,24789,318,11958.0,12513.0,15.0,1750.7938570718256,894688.0,,1.282827060389689,84000015.0,USA,63189.89287167202,,2021-01-15,,,24598,191.0,318,0.0
Hawaii,US,2021-01-17 05:30:35,21.0943,-157.4983,24969,320,11958.0,12691.0,15.0,1763.5068706775753,905322.0,,1.2815891705715086,84000015.0,USA,63940.94946435836,,2021-01-16,,,24789,180.0,318,2.0
Hawaii,US,2021-01-18 05:30:33,21.0943,-157.4983,25064,322,11958.0,12784.0,15.0,1770.2165167472765,910779.0,,1.2847111394829238,84000015.0,USA,64326.36566017268,,2021-01-17,,,24969,95.0,320,2.0
Hawaii,US,2021-01-19 05:30:28,21.0943,-157.4983,25187,322,11958.0,12907.0,15.0,1778.9037427112055,915086.0,,1.2784372890776987,84000015.0,USA,64630.559824616925,,2021-01-18,,,25064,123.0,322,0.0
Hawaii,US,2021-01-20 05:30:46,21.0943,-157.4983,25195,324,,,15.0,1779.4687655381276,918361.0,,1.285969438380631,84000015.0,USA,64861.8660443882,,2021-01-19,,,25187,8.0,322,2.0
