Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Illinois,US,2021-01-02 05:30:44,40.3495,-88.9861,963389,17978,,,17.0,7602.6089699341555,13374665.0,,1.866120539055356,84000017.0,USA,105546.5114287836,,2021-01-01,,,,0.0,,0.0
Illinois,US,2021-01-03 05:30:33,40.3495,-88.9861,975352,18217,,,17.0,7697.015290856776,13436652.0,,1.8677359558395328,84000017.0,USA,106035.68342703072,,2021-01-02,,,963389,11963.0,17978,239.0
Illinois,US,2021-01-04 05:30:45,40.3495,-88.9861,979821,18322,,,17.0,7732.282518826615,13482117.0,,1.8699333857918947,84000017.0,USA,106394.47163908012,,2021-01-03,,,975352,4469.0,18217,105.0
Illinois,US,2021-01-05 05:30:33,40.3495,-88.9861,984880,18412,,,17.0,7772.20574690883,13530371.0,,1.8694663309235644,84000017.0,USA,106775.26931606753,,2021-01-04,,,979821,5059.0,18322,90.0
Illinois,US,2021-01-06 05:30:39,40.3495,-88.9861,991719,18562,,,17.0,7826.175890584313,13617454.0,,1.871699543923228,84000017.0,USA,107462.4870411285,,2021-01-05,,,984880,6839.0,18412,150.0
Illinois,US,2021-01-07 05:30:38,40.3495,-88.9861,999288,18735,,,17.0,7885.906847958158,13698428.0,,1.8748348824362944,84000017.0,USA,108101.49543621235,,2021-01-06,,,991719,7569.0,18562,173.0
Illinois,US,2021-01-08 05:30:47,40.3495,-88.9861,1008045,18941,,,17.0,7955.012937761669,13803946.0,,1.878983577122053,84000017.0,USA,108934.19343597104,,2021-01-07,,,999288,8757.0,18735,206.0
Illinois,US,2021-01-09 05:30:45,40.3495,-88.9861,1017322,19108,,,17.0,8028.22262088456,13922611.0,,1.8782646988858984,84000017.0,USA,109870.64132297951,,2021-01-08,,,1008045,9277.0,18941,167.0
Illinois,US,2021-01-10 05:30:28,40.3495,-88.9861,1024039,19210,,,17.0,8081.22999843511,14025514.0,,1.875905116894962,84000017.0,USA,110682.70298325711,,2021-01-09,,,1017322,6717.0,19108,102.0
Illinois,US,2021-01-11 05:30:40,40.3495,-88.9861,1028750,19293,,,17.0,8118.406975603585,14103289.0,,1.8753827460510328,84000017.0,USA,111296.46638790118,,2021-01-10,,,1024039,4711.0,19210,83.0
Illinois,US,2021-01-12 05:30:28,40.3495,-88.9861,1033526,19363,,,17.0,8156.096901936983,14169986.0,,1.8734893945580469,84000017.0,USA,111822.80747179117,,2021-01-11,,,1028750,4776.0,19293,70.0
Illinois,US,2021-01-13 05:30:34,40.3495,-88.9861,1040168,19497,,,17.0,8208.512415066469,14263477.0,,1.8744087493558728,84000017.0,USA,112560.59409298789,,2021-01-12,,,1033526,6642.0,19363,134.0
Illinois,US,2021-01-14 05:30:28,40.3495,-88.9861,1046030,19617,,,17.0,8254.772538216883,14339584.0,,1.8753764232383392,84000017.0,USA,113161.19443290748,,2021-01-13,,,1040168,5862.0,19497,120.0
Illinois,US,2021-01-15 05:30:28,40.3495,-88.9861,1052682,19724,,,17.0,8307.26696660251,14457620.0,,1.8736902502370136,84000017.0,USA,114092.67855030464,,2021-01-14,,,1046030,6652.0,19617,107.0
Illinois,US,2021-01-16 05:30:49,40.3495,-88.9861,1059324,19873,,,17.0,8359.682479731997,14564776.0,,1.876007718129676,84000017.0,USA,114938.30286901938,,2021-01-15,,,1052682,6642.0,19724,149.0
Illinois,US,2021-01-17 05:30:35,40.3495,-88.9861,1064667,20020,,,17.0,8401.846901088644,14667148.0,,1.880400162679974,84000017.0,USA,115746.1741291958,,2021-01-16,,,1059324,5343.0,19873,147.0
