Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Iowa,US,2021-01-02 05:30:44,42.0115,-93.2105,282980,3898,241229.0,37853.0,19.0,8969.056154063142,1174406.0,,1.3774825075977102,84000019.0,USA,37222.81914505859,,2021-01-01,,,,0.0,,0.0
Iowa,US,2021-01-03 05:30:33,42.0115,-93.2105,283895,3946,243214.0,36735.0,19.0,8998.057095405173,1175920.0,,1.3899505098716074,84000019.0,USA,37270.80540209884,,2021-01-02,,,282980,915.0,3898,48.0
Iowa,US,2021-01-04 05:30:45,42.0115,-93.2105,284715,3946,244021.0,36748.0,19.0,9024.04701005049,1178096.0,,1.3859473508596316,84000019.0,USA,37339.77376096252,,2021-01-03,,,283895,820.0,3946,0.0
Iowa,US,2021-01-05 05:30:33,42.0115,-93.2105,286356,3992,244677.0,37687.0,19.0,9076.058534358985,1179621.0,,1.3940689212029782,84000019.0,USA,37388.10866319924,,2021-01-04,,,284715,1641.0,3946,46.0
Iowa,US,2021-01-06 05:30:39,42.0115,-93.2105,288298,3999,247853.0,36446.0,19.0,9137.61025904338,1181244.0,,1.387106396853256,84000019.0,USA,37439.54967718625,,2021-01-05,,,286356,1942.0,3992,7.0
Iowa,US,2021-01-07 05:30:38,42.0115,-93.2105,290776,4060,249919.0,36797.0,19.0,9216.150513300814,1185478.0,,1.396263790684238,84000019.0,USA,37573.746382806086,,2021-01-06,,,288298,2478.0,3999,61.0
Iowa,US,2021-01-08 05:30:47,42.0115,-93.2105,293189,4065,251659.0,37465.0,19.0,9292.630591397336,1188908.0,,1.386477664578139,84000019.0,USA,37682.460294066375,,2021-01-07,,,290776,2413.0,4060,5.0
Iowa,US,2021-01-09 05:30:45,42.0115,-93.2105,294762,4124,253501.0,37137.0,19.0,9342.486854491342,1192481.0,,1.3990948629741962,84000019.0,USA,37795.70659288066,,2021-01-08,,,293189,1573.0,4065,59.0
Iowa,US,2021-01-10 05:30:28,42.0115,-93.2105,296171,4127,255103.0,36941.0,19.0,9387.145134656284,1195536.0,,1.393451755911281,84000019.0,USA,37892.5348724434,,2021-01-09,,,294762,1409.0,4124,3.0
Iowa,US,2021-01-11 05:30:40,42.0115,-93.2105,296682,4138,255593.0,36951.0,19.0,9403.341288782816,1198291.0,,1.394759371987515,84000019.0,USA,37979.85464664808,,2021-01-10,,,296171,511.0,4127,11.0
Iowa,US,2021-01-12 05:30:28,42.0115,-93.2105,297774,4139,256151.0,37484.0,19.0,9437.952248286092,1199759.0,,1.389980320645859,84000019.0,USA,38026.38293286679,,2021-01-11,,,296682,1092.0,4138,1.0
Iowa,US,2021-01-13 05:30:34,42.0115,-93.2105,299255,4222,258758.0,36275.0,19.0,9484.892569736963,1201471.0,,1.4108369116639654,84000019.0,USA,38080.64480344335,,2021-01-12,,,297774,1481.0,4139,83.0
Iowa,US,2021-01-14 05:30:28,42.0115,-93.2105,301161,4232,260557.0,36372.0,19.0,9545.303273778394,1205222.0,,1.4052284326323794,84000019.0,USA,38199.53281543674,,2021-01-13,,,299255,1906.0,4222,10.0
Iowa,US,2021-01-15 05:30:28,42.0115,-93.2105,302560,4251,262266.0,36043.0,19.0,9589.644603764737,1208878.0,,1.4050105764145957,84000019.0,USA,38315.40980073343,,2021-01-14,,,301161,1399.0,4232,19.0
Iowa,US,2021-01-16 05:30:49,42.0115,-93.2105,303926,4257,263844.0,35825.0,19.0,9632.93999816169,1212121.0,,1.4006698999098466,84000019.0,USA,38418.19674365386,,2021-01-15,,,302560,1366.0,4251,6.0
Iowa,US,2021-01-17 05:30:35,42.0115,-93.2105,304748,4321,265320.0,35107.0,19.0,9658.993302842726,1214729.0,,1.4178928163597464,84000019.0,USA,38500.85735023312,,2021-01-16,,,303926,822.0,4257,64.0
Iowa,US,2021-01-18 05:30:33,42.0115,-93.2105,305151,4323,265923.0,34905.0,19.0,9671.766395040364,1216693.0,,1.4166756785984644,84000019.0,USA,38563.10636531044,,2021-01-17,,,304748,403.0,4321,2.0
Iowa,US,2021-01-19 05:30:28,42.0115,-93.2105,306083,4324,266453.0,35306.0,19.0,9701.306151686016,1218425.0,,1.412688715152426,84000019.0,USA,38618.002136244206,,2021-01-18,,,305151,932.0,4323,1.0
Iowa,US,2021-01-20 05:30:46,42.0115,-93.2105,307302,4332,268931.0,34039.0,19.0,9739.94237845753,1220451.0,,1.4096881894683406,84000019.0,USA,38682.21624242885,,2021-01-19,,,306083,1219.0,4324,8.0
Iowa,US,2021-01-21 05:30:34,42.0115,-93.2105,308787,4394,270625.0,33768.0,19.0,9787.009479979844,1222463.0,,1.4229873666961368,84000019.0,USA,38745.98661836346,,2021-01-20,,,307302,1485.0,4332,62.0
Iowa,US,2021-01-22 05:30:39,42.0115,-93.2105,310440,4445,272004.0,33991.0,19.0,9839.401344502658,1226351.0,,1.4318386805823993,84000019.0,USA,38869.21684780368,,2021-01-21,,,308787,1653.0,4394,51.0
Iowa,US,2021-01-23 05:30:27,42.0115,-93.2105,311695,4478,273035.0,34182.0,19.0,9879.178591917136,1229114.0,,1.436660838319511,84000019.0,USA,38956.790182151264,,2021-01-22,,,310440,1255.0,4445,33.0
Iowa,US,2021-01-24 05:30:28,42.0115,-93.2105,312622,4486,273189.0,34947.0,19.0,9908.559873473489,1232463.0,,1.4349597916973214,84000019.0,USA,39062.93679696489,,2021-01-23,,,311695,927.0,4478,8.0
Iowa,US,2021-01-25 05:30:45,42.0115,-93.2105,313137,4487,274101.0,34549.0,19.0,9924.882807671462,1235059.0,,1.4329191376298551,84000019.0,USA,39145.217063329816,,2021-01-24,,,312622,515.0,4486,1.0
Iowa,US,2021-01-26 05:30:28,42.0115,-93.2105,313909,4488,273751.0,35670.0,19.0,9949.351361459492,1236524.0,,1.429713706838606,84000019.0,USA,39191.650264494914,,2021-01-25,,,313137,772.0,4487,1.0
Iowa,US,2021-01-27 05:30:51,42.0115,-93.2105,315002,4492,276465.0,34045.0,19.0,9983.994015980628,1238482.0,,1.4260226919194163,84000019.0,USA,39253.70910946508,,2021-01-26,,,313909,1093.0,4488,4.0
Iowa,US,2021-01-28 05:30:28,42.0115,-93.2105,316114,4500,277824.0,33790.0,19.0,10019.238875841109,1241079.0,,1.4235370783957686,84000019.0,USA,39336.02107084787,,2021-01-27,,,315002,1112.0,4492,8.0
Iowa,US,2021-01-29 05:30:28,42.0115,-93.2105,317124,4532,279641.0,32951.0,19.0,10051.25084387985,1244219.0,,1.4290939821647053,84000019.0,USA,39435.54342692872,,2021-01-28,,,316114,1010.0,4500,32.0
Iowa,US,2021-01-30 05:30:40,42.0115,-93.2105,318319,4577,281179.0,32563.0,19.0,10089.12639022272,1246868.0,,1.437865788721377,84000019.0,USA,39519.50352924024,,2021-01-29,,,317124,1195.0,4532,45.0
Iowa,US,2021-01-31 05:30:41,42.0115,-93.2105,319110,4651,281466.0,32993.0,19.0,10114.197149350091,1251252.0,,1.4574911472532983,84000019.0,USA,39658.4544875391,,2021-01-30,,,318319,791.0,4577,74.0
Iowa,US,2021-02-01 05:30:44,42.0115,-93.2105,319408,4901,282324.0,32183.0,19.0,10123.642264672417,1253688.0,,1.534401142112909,84000019.0,USA,39735.66355104641,,2021-01-31,,,319110,298.0,4651,250.0
Iowa,US,2021-02-02 05:30:40,42.0115,-93.2105,320187,4906,283036.0,32245.0,19.0,10148.332683585468,1255188.0,,1.532229603325557,84000019.0,USA,39783.20607783662,,2021-02-01,,,319408,779.0,4901,5.0
Iowa,US,2021-02-03 05:30:38,42.0115,-93.2105,321274,4919,286315.0,30040.0,19.0,10182.785167999442,1256662.0,,1.531091840609573,84000019.0,USA,39829.92453416248,,2021-02-02,,,320187,1087.0,4906,13.0
Iowa,US,2021-02-04 05:30:42,42.0115,-93.2105,322308,4975,288259.0,29074.0,19.0,10215.55781646683,1260185.0,,1.5435546123583652,84000019.0,USA,39941.58608208376,,2021-02-03,,,321274,1034.0,4919,56.0
Iowa,US,2021-02-05 05:30:47,42.0115,-93.2105,323216,5033,289989.0,28194.0,19.0,10244.33689268384,1262433.0,,1.5571630117320925,84000019.0,USA,40012.83648223337,,2021-02-04,,,322308,908.0,4975,58.0
Iowa,US,2021-02-06 05:30:40,42.0115,-93.2105,323797,5067,291527.0,27203.0,19.0,10262.75169806058,1264939.0,,1.564869347152691,84000019.0,USA,40092.26419699087,,2021-02-05,,,323216,581.0,5033,34.0
Iowa,US,2021-02-07 05:30:57,42.0115,-93.2105,324306,5108,293073.0,26125.0,19.0,10278.884462151394,1266063.0,,1.5750556573113048,84000019.0,USA,40127.88939706567,,2021-02-06,,,323797,509.0,5067,41.0
Iowa,US,2021-02-08 05:30:33,42.0115,-93.2105,324590,5108,293597.0,25885.0,19.0,10287.885847223675,1268161.0,,1.5736775624634154,84000019.0,USA,40194.38554453626,,2021-02-07,,,324306,284.0,5108,0.0
Iowa,US,2021-02-09 05:30:43,42.0115,-93.2105,325219,5110,294118.0,25991.0,19.0,10307.822013457704,1269419.0,,1.5712489122714233,84000019.0,USA,40234.25787700431,,2021-02-08,,,324590,629.0,5108,2.0
Iowa,US,2021-02-10 05:30:29,42.0115,-93.2105,326150,5145,296420.0,24585.0,19.0,10337.330075085498,1271013.0,,1.577495017629925,84000019.0,USA,40284.77973547338,,2021-02-09,,,325219,931.0,5110,35.0
Iowa,US,2021-02-11 05:30:49,42.0115,-93.2105,327061,5174,297805.0,24082.0,19.0,10366.204236356089,1273327.0,,1.5819678897820284,84000019.0,USA,40358.12200680175,,2021-02-10,,,326150,911.0,5145,29.0
Iowa,US,2021-02-12 05:30:51,42.0115,-93.2105,327432,5196,299106.0,23130.0,19.0,10377.9630879822,1275682.0,,1.5868943780693396,84000019.0,USA,40432.76377386239,,2021-02-11,,,327061,371.0,5174,22.0
Iowa,US,2021-02-13 05:30:30,42.0115,-93.2105,328565,5223,300366.0,22976.0,19.0,10413.873543217742,1277491.0,,1.589639797300382,84000019.0,USA,40490.10006117138,,2021-02-12,,,327432,1133.0,5196,27.0
Iowa,US,2021-02-14 05:30:42,42.0115,-93.2105,329039,5236,301196.0,22607.0,19.0,10428.896981683449,1279333.0,,1.5913007272694115,84000019.0,USA,40548.48228406977,,2021-02-13,,,328565,474.0,5223,13.0
Iowa,US,2021-02-15 05:31:10,42.0115,-93.2105,329258,5236,301774.0,22248.0,19.0,10435.83819059482,1280992.0,,1.590242302389008,84000019.0,USA,40601.06431869973,,2021-02-14,,,329039,219.0,5236,0.0
Iowa,US,2021-02-16 05:31:00,42.0115,-93.2105,329726,5237,302158.0,22331.0,19.0,10450.671458953368,1282323.0,,1.5882884576891116,84000019.0,USA,40643.250387471584,,2021-02-15,,,329258,468.0,5236,1.0
Iowa,US,2021-02-17 05:30:30,42.0115,-93.2105,330318,5263,303697.0,21358.0,19.0,10469.434909526572,1290933.0,,1.593313110396648,84000019.0,USA,40916.14449124742,,2021-02-16,,,329726,592.0,5237,26.0
Iowa,US,2021-02-18 05:30:52,42.0115,-93.2105,330906,5306,305238.0,20362.0,19.0,10488.071580028336,1293332.0,,1.603476515989435,84000019.0,USA,40992.180839093904,,2021-02-17,,,330318,588.0,5263,43.0
Iowa,US,2021-02-19 05:31:04,42.0115,-93.2105,331505,5321,306399.0,19785.0,19.0,10507.05689572656,1295556.0,,1.6051039954148505,84000019.0,USA,41062.67055881486,,2021-02-18,,,330906,599.0,5306,15.0
Iowa,US,2021-02-20 05:30:30,42.0115,-93.2105,331747,5336,307605.0,18806.0,19.0,10514.727090048716,1297314.0,,1.6084546356108722,84000019.0,USA,41118.390400212986,,2021-02-19,,,331505,242.0,5321,15.0
Iowa,US,2021-02-21 05:30:53,42.0115,-93.2105,332182,5336,308712.0,18134.0,19.0,10528.514422817878,1298607.0,,1.606348327121879,84000019.0,USA,41159.37205830615,,2021-02-20,,,331747,435.0,5336,0.0
Iowa,US,2021-02-22 05:30:43,42.0115,-93.2105,332760,5336,309192.0,18232.0,19.0,10546.83414314104,1300171.0,,1.603558119966342,84000019.0,USA,41208.943066239415,,2021-02-21,,,332182,578.0,5336,0.0
Iowa,US,2021-02-23 05:30:53,42.0115,-93.2105,333080,5374,309539.0,18167.0,19.0,10556.976548856286,1301870.0,,1.6134262039149754,84000019.0,USA,41262.7929015838,,2021-02-22,,,332760,320.0,5336,38.0
Iowa,US,2021-02-24 05:31:21,42.0115,-93.2105,333964,5400,310864.0,17700.0,19.0,10584.994944644652,1303212.0,,1.616940748104586,84000019.0,USA,41305.32761555212,,2021-02-23,,,333080,884.0,5374,26.0
Iowa,US,2021-02-25 05:31:00,42.0115,-93.2105,334665,5415,311666.0,17584.0,19.0,10607.213152164612,1305902.0,,1.6180359463941554,84000019.0,USA,41390.587213595885,,2021-02-24,,,333964,701.0,5400,15.0
Iowa,US,2021-02-26 05:30:48,42.0115,-93.2105,335244,5438,312817.0,16989.0,19.0,10625.564567505631,1308496.0,,1.6221021107014593,84000019.0,USA,41472.80408992512,,2021-02-25,,,334665,579.0,5415,23.0
Iowa,US,2021-02-27 05:30:48,42.0115,-93.2105,335855,5463,313771.0,16621.0,19.0,10644.93022341818,1310419.0,,1.6265948102603802,84000019.0,USA,41533.75360927016,,2021-02-26,,,335244,611.0,5438,25.0
Iowa,US,2021-02-28 05:30:29,42.0115,-93.2105,336282,5470,314750.0,16062.0,19.0,10658.463996044462,1312007.0,,1.6266109991019442,84000019.0,USA,41584.08529763207,,2021-02-27,,,335855,427.0,5463,7.0
Iowa,US,2021-03-01 05:30:39,42.0115,-93.2105,336465,5471,315134.0,15860.0,19.0,10664.264184312868,1313829.0,,1.6260235091317077,84000019.0,USA,41641.833620173245,,2021-02-28,,,336282,183.0,5470,1.0
