Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Kansas,US,2021-01-02 05:30:44,38.5266,-96.7265,229822,2892,4612.0,222604.0,20.0,7898.496351577619,1012506.0,,1.2568011542406174,84000020.0,USA,34754.441162195355,,2021-01-01,,,,0.0,,0.0
Kansas,US,2021-01-03 05:30:33,38.5266,-96.7265,229983,2893,4612.0,222614.0,20.0,7898.873928453988,1012506.0,,1.2571756352148236,84000020.0,USA,34754.441162195355,,2021-01-02,,,229822,161.0,2892,1.0
Kansas,US,2021-01-04 05:30:45,38.5266,-96.7265,229983,2893,4612.0,222614.0,20.0,7898.873928453988,1012506.0,,1.2571756352148236,84000020.0,USA,34754.441162195355,,2021-01-03,,,229983,0.0,2893,0.0
Kansas,US,2021-01-05 05:30:33,38.5266,-96.7265,233702,2911,4643.0,226515.0,20.0,8034.458352240781,1024129.0,,1.2436503765983535,84000020.0,USA,35153.40261983432,,2021-01-04,,,229983,3719.0,2893,18.0
Kansas,US,2021-01-06 05:30:39,38.5266,-96.7265,233580,3006,4643.0,226252.0,20.0,8028.691723583521,1024129.0,,1.2851591057755205,84000020.0,USA,35153.40261983432,,2021-01-05,,,233702,-122.0,2911,95.0
Kansas,US,2021-01-07 05:30:38,38.5266,-96.7265,238776,3041,4745.0,231411.0,20.0,8210.477826969562,1037519.0,,1.2713370150963432,84000020.0,USA,35613.01665388626,,2021-01-06,,,233580,5196.0,3006,35.0
Kansas,US,2021-01-08 05:30:47,38.5266,-96.7265,238985,3042,4745.0,231524.0,20.0,8214.39089641556,1037519.0,,1.271149257660534,84000020.0,USA,35613.01665388626,,2021-01-07,,,238776,209.0,3041,1.0
Kansas,US,2021-01-09 05:30:45,38.5266,-96.7265,244185,3164,4838.0,236581.0,20.0,8395.353195707707,1051207.0,,1.2936303831419191,84000020.0,USA,36082.859588770734,,2021-01-08,,,238985,5200.0,3042,122.0
Kansas,US,2021-01-10 05:30:28,38.5266,-96.7265,244347,3164,4838.0,236581.0,20.0,8395.353195707707,1051207.0,,1.2936303831419191,84000020.0,USA,36082.859588770734,,2021-01-09,,,244185,162.0,3164,0.0
Kansas,US,2021-01-11 05:30:40,38.5266,-96.7265,244347,3165,4838.0,236580.0,20.0,8395.353195707707,1051207.0,,1.2940392423022042,84000020.0,USA,36082.859588770734,,2021-01-10,,,244347,0.0,3164,1.0
