Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Maine,US,2021-01-02 05:30:44,44.6939,-69.3819,24902,352,11374.0,13176.0,23.0,1852.535165584,1111413.0,,1.4135410810376676,84000023.0,USA,82681.37763983657,,2021-01-01,,,,0.0,,0.0
Maine,US,2021-01-03 05:30:33,44.6939,-69.3819,25245,358,11438.0,13449.0,23.0,1878.051973944586,1112457.0,,1.4181025945731829,84000023.0,USA,82759.04396032769,,2021-01-02,,,24902,343.0,352,6.0
Maine,US,2021-01-04 05:30:45,44.6939,-69.3819,25592,359,11465.0,13768.0,23.0,1903.8663544143333,1112804.0,,1.4027821194123165,84000023.0,USA,82784.85834079744,,2021-01-03,,,25245,347.0,358,1.0
Maine,US,2021-01-05 05:30:33,44.6939,-69.3819,25967,361,11548.0,14058.0,23.0,1931.7637396482105,1133981.0,,1.390226056148188,84000023.0,USA,84360.27947972492,,2021-01-04,,,25592,375.0,359,2.0
Maine,US,2021-01-06 05:30:39,44.6939,-69.3819,26565,369,11582.0,14614.0,23.0,1976.2507699678324,1143104.0,,1.389045736871824,84000023.0,USA,85038.96706769468,,2021-01-05,,,25967,598.0,361,8.0
Maine,US,2021-01-07 05:30:38,44.6939,-69.3819,27090,372,11607.0,15111.0,23.0,2015.30710929526,1151056.0,,1.3732004429678848,84000023.0,USA,85630.54042070745,,2021-01-06,,,26565,525.0,369,3.0
Maine,US,2021-01-08 05:30:47,44.6939,-69.3819,27625,385,11658.0,15582.0,23.0,2055.107378895591,1162204.0,,1.3936651583710409,84000023.0,USA,86459.87388894014,,2021-01-07,,,27090,535.0,372,13.0
Maine,US,2021-01-09 05:30:45,44.6939,-69.3819,28407,426,11690.0,16291.0,23.0,2113.2827262366354,1172721.0,,1.4996303727954376,84000023.0,USA,87242.26535695263,,2021-01-08,,,27625,782.0,385,41.0
Maine,US,2021-01-10 05:30:28,44.6939,-69.3819,29019,432,11728.0,16859.0,23.0,2158.811258938322,1173333.0,,1.488679830455908,84000023.0,USA,87287.79388965429,,2021-01-09,,,28407,612.0,426,6.0
Maine,US,2021-01-11 05:30:40,44.6939,-69.3819,29298,432,11735.0,17131.0,23.0,2179.5669135523267,1173612.0,,1.4745033790702438,84000023.0,USA,87308.54954426832,,2021-01-10,,,29019,279.0,432,0.0
