Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Maryland,US,2021-01-02 05:30:44,39.0639,-76.8021,280219,5942,9358.0,264919.0,24.0,4635.028648555663,5761534.0,,2.120484335466189,84000024.0,USA,9.530001587910706e-06,,2021-01-01,,,,0.0,,0.0
Maryland,US,2021-01-03 05:30:33,39.0639,-76.8021,283171,5967,9374.0,267830.0,24.0,4683.856902780167,5807666.0,,2.107207305832872,84000024.0,USA,9.606307313652062e-06,,2021-01-02,,,280219,2952.0,5942,25.0
Maryland,US,2021-01-04 05:30:45,39.0639,-76.8021,285319,5994,9378.0,269947.0,24.0,4719.386404837835,5834126.0,,2.1008064657453587,84000024.0,USA,9.650074102499636e-06,,2021-01-03,,,283171,2148.0,5967,27.0
Maryland,US,2021-01-05 05:30:33,39.0639,-76.8021,287802,6027,9383.0,272392.0,24.0,4760.457053631684,5869617.0,,2.094148060124669,84000024.0,USA,9.708778830503766e-06,,2021-01-04,,,285319,2483.0,5994,33.0
Maryland,US,2021-01-06 05:30:39,39.0639,-76.8021,289758,6082,9388.0,274288.0,24.0,4792.810734276376,5894499.0,,2.0989929527398727,84000024.0,USA,9.749935491127548e-06,,2021-01-05,,,287802,1956.0,6027,55.0
Maryland,US,2021-01-07 05:30:38,39.0639,-76.8021,292904,6132,9391.0,277381.0,24.0,4844.847891386908,5932780.0,,2.0935186955452982,84000024.0,USA,9.813255084622408e-06,,2021-01-06,,,289758,3146.0,6082,50.0
Maryland,US,2021-01-08 05:30:47,39.0639,-76.8021,295874,6173,9404.0,280297.0,24.0,4893.973878868878,5972432.0,,2.086361086138018,84000024.0,USA,9.87884241309497e-06,,2021-01-07,,,292904,2970.0,6132,41.0
Maryland,US,2021-01-09 05:30:45,39.0639,-76.8021,299606,6216,9419.0,283971.0,24.0,4955.703907583596,6029482.0,,2.074724805244221,84000024.0,USA,9.97320731497532e-06,,2021-01-08,,,295874,3732.0,6173,43.0
Maryland,US,2021-01-10 05:30:28,39.0639,-76.8021,303364,6246,9427.0,287691.0,24.0,5017.8639954479895,6085068.0,,2.058912725306892,84000024.0,USA,1.0065150653028277e-05,,2021-01-09,,,299606,3758.0,6216,30.0
Maryland,US,2021-01-11 05:30:40,39.0639,-76.8021,306674,6272,9427.0,290975.0,24.0,5072.613833348772,6145245.0,,2.045168485101444,84000024.0,USA,1.0164687843220285e-05,,2021-01-10,,,303364,3310.0,6246,26.0
Maryland,US,2021-01-12 05:30:28,39.0639,-76.8021,309686,6301,9431.0,293954.0,24.0,5122.43453176483,6188765.0,,2.0346415401406586,84000024.0,USA,1.023667312858107e-05,,2021-01-11,,,306674,3012.0,6272,29.0
Maryland,US,2021-01-13 05:30:34,39.0639,-76.8021,312351,6367,9434.0,296550.0,24.0,5166.515594606397,6220019.0,,2.038411914800977,84000024.0,USA,1.0288369546519168e-05,,2021-01-12,,,309686,2665.0,6301,66.0
Maryland,US,2021-01-14 05:30:28,39.0639,-76.8021,314867,6404,9439.0,299024.0,24.0,5208.132087705601,6254353.0,,2.0338746200776834,84000024.0,USA,1.0345160511307249e-05,,2021-01-13,,,312351,2516.0,6367,37.0
Maryland,US,2021-01-15 05:30:28,39.0639,-76.8021,317815,6449,9443.0,301923.0,24.0,5256.894178984002,6298178.0,,2.0291679121501502,84000024.0,USA,1.0417650289132074e-05,,2021-01-14,,,314867,2948.0,6404,45.0
Maryland,US,2021-01-16 05:30:49,39.0639,-76.8021,320739,6494,9444.0,304801.0,24.0,5305.259292585781,6352475.0,,2.0246992102613026,84000024.0,USA,1.050746152624684e-05,,2021-01-15,,,317815,2924.0,6449,45.0
Maryland,US,2021-01-17 05:30:35,39.0639,-76.8021,324031,6541,9451.0,308039.0,24.0,5359.711397229095,6408323.0,,2.018634019584546,84000024.0,USA,1.0599838231596775e-05,,2021-01-16,,,320739,3292.0,6494,47.0
Maryland,US,2021-01-18 05:30:33,39.0639,-76.8021,326445,6567,9454.0,310424.0,24.0,5399.640735202657,6455048.0,,2.011671185038828,84000024.0,USA,1.0677124823014116e-05,,2021-01-17,,,324031,2414.0,6541,26.0
Maryland,US,2021-01-19 05:30:28,39.0639,-76.8021,328214,6596,9455.0,312163.0,24.0,5428.901298117003,6480786.0,,2.0096644262584777,84000024.0,USA,1.0719697370684523e-05,,2021-01-18,,,326445,1769.0,6567,29.0
Maryland,US,2021-01-20 05:30:46,39.0639,-76.8021,330186,6650,9456.0,314080.0,24.0,5461.519630546109,6510156.0,,2.0140163423040347,84000024.0,USA,1.076827751386114e-05,,2021-01-19,,,328214,1972.0,6596,54.0
Maryland,US,2021-01-21 05:30:34,39.0639,-76.8021,332353,6689,9457.0,316207.0,24.0,5497.363406597769,6541052.0,,2.0126191128107767,84000024.0,USA,1.0819381773431608e-05,,2021-01-20,,,330186,2167.0,6650,39.0
Maryland,US,2021-01-22 05:30:39,39.0639,-76.8021,334519,6735,9459.0,318325.0,24.0,5533.190641912903,6578575.0,,2.013338554760716,84000024.0,USA,1.08814475790978e-05,,2021-01-21,,,332353,2166.0,6689,46.0
Maryland,US,2021-01-23 05:30:27,39.0639,-76.8021,336915,6792,9469.0,320654.0,24.0,5572.822246628998,6630564.0,,2.015938738257424,84000024.0,USA,1.0967441214222386e-05,,2021-01-22,,,334519,2396.0,6735,57.0
Maryland,US,2021-01-24 05:30:28,39.0639,-76.8021,339307,6837,9471.0,322999.0,24.0,5612.387688398989,6678255.0,,2.014989375403396,84000024.0,USA,1.1046325640788134e-05,,2021-01-23,,,336915,2392.0,6792,45.0
Maryland,US,2021-01-25 05:30:45,39.0639,-76.8021,341452,6865,9474.0,325113.0,24.0,5647.867568247078,6723502.0,,2.010531494909973,84000024.0,USA,1.1121167511346944e-05,,2021-01-24,,,339307,2145.0,6837,28.0
Maryland,US,2021-01-26 05:30:28,39.0639,-76.8021,343138,6900,9476.0,326762.0,24.0,5675.755250029773,6758236.0,,2.010852776433971,84000024.0,USA,1.1178620105596062e-05,,2021-01-25,,,341452,1686.0,6865,35.0
