Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Massachusetts,US,2021-01-02 05:30:44,42.2302,-71.5301,375178,10522,261672.0,101083.0,25.0,5443.276557152025,10944699.0,,3.3112282703143574,84000025.0,USA,1.587913563476142e-05,,2021-01-01,,,,0.0,,0.0
Massachusetts,US,2021-01-03 05:30:33,42.2302,-71.5301,384181,10589,261672.0,110007.0,25.0,5573.896739689486,11412463.0,,3.254195288158446,84000025.0,USA,1.6557791850072462e-05,,2021-01-02,,,375178,9003.0,10522,67.0
Massachusetts,US,2021-01-04 05:30:45,42.2302,-71.5301,387662,10683,261672.0,113380.0,25.0,5624.400888907847,11461220.0,,3.252833654059464,84000025.0,USA,1.6628531028568287e-05,,2021-01-03,,,384181,3481.0,10589,94.0
Massachusetts,US,2021-01-05 05:30:33,42.2302,-71.5301,392568,10739,261672.0,118225.0,25.0,5695.579675482187,11521059.0,,3.2277210572435857,84000025.0,USA,1.6715348546094213e-05,,2021-01-04,,,387662,4906.0,10683,56.0
Massachusetts,US,2021-01-06 05:30:39,42.2302,-71.5301,397202,10791,261672.0,122796.0,25.0,5762.812145312088,11585315.0,,3.205925448512344,84000025.0,USA,1.680857447577462e-05,,2021-01-05,,,392568,4634.0,10739,52.0
Massachusetts,US,2021-01-07 05:30:38,42.2302,-71.5301,404053,10877,261672.0,129545.0,25.0,5862.209998312659,11692212.0,,3.176810962918231,84000025.0,USA,1.696366617468284e-05,,2021-01-06,,,397202,6851.0,10791,86.0
Massachusetts,US,2021-01-08 05:30:47,42.2302,-71.5301,411601,10937,293522.0,105170.0,25.0,5971.7202879708575,11804630.0,,3.1362897563417,84000025.0,USA,1.7126768026071226e-05,,2021-01-07,,,404053,7548.0,10877,60.0
Massachusetts,US,2021-01-09 05:30:45,42.2302,-71.5301,419721,11002,293522.0,113214.0,25.0,6089.529449606333,11918203.0,,3.0937217818503244,84000025.0,USA,1.7291545611224252e-05,,2021-01-08,,,411601,8120.0,10937,65.0
Massachusetts,US,2021-01-10 05:30:28,42.2302,-71.5301,427135,11071,293522.0,120539.0,25.0,6197.095597927198,12031676.0,,3.06085897901132,84000025.0,USA,1.7456178111202853e-05,,2021-01-09,,,419721,7414.0,11002,69.0
Massachusetts,US,2021-01-11 05:30:40,42.2302,-71.5301,432791,11132,293522.0,126118.0,25.0,6279.155772583632,12116973.0,,3.0386491401161297,84000025.0,USA,1.7579931412434642e-05,,2021-01-10,,,427135,5656.0,11071,61.0
Massachusetts,US,2021-01-12 05:30:28,42.2302,-71.5301,437042,11183,293522.0,130314.0,25.0,6340.831480232943,12175761.0,,3.0216775504413764,84000025.0,USA,1.766522408477733e-05,,2021-01-11,,,432791,4251.0,11132,51.0
Massachusetts,US,2021-01-13 05:30:34,42.2302,-71.5301,442529,11230,293522.0,135734.0,25.0,6420.439715441546,12250951.0,,2.999351454932897,84000025.0,USA,1.7774313627429687e-05,,2021-01-12,,,437042,5487.0,11183,47.0
Massachusetts,US,2021-01-14 05:30:28,42.2302,-71.5301,448447,11310,293522.0,141566.0,25.0,6506.301121667992,12356695.0,,2.9789473449482324,84000025.0,USA,1.7927732494276754e-05,,2021-01-13,,,442529,5918.0,11230,80.0
Massachusetts,US,2021-01-15 05:30:28,42.2302,-71.5301,454402,11368,324203.0,116766.0,25.0,6592.6993430398215,12462047.0,,2.956192974502753,84000025.0,USA,1.808058262724006e-05,,2021-01-14,,,448447,5955.0,11310,58.0
Massachusetts,US,2021-01-16 05:30:49,42.2302,-71.5301,459927,11440,324203.0,122215.0,25.0,6672.8589019112505,12569236.0,,2.937205252137839,84000025.0,USA,1.823609797485761e-05,,2021-01-15,,,454402,5525.0,11368,72.0
Massachusetts,US,2021-01-17 05:30:35,42.2302,-71.5301,465726,11495,324203.0,127940.0,25.0,6756.993794562005,12684808.0,,2.9165217316619643,84000025.0,USA,1.840377581264745e-05,,2021-01-16,,,459927,5799.0,11440,55.0
Massachusetts,US,2021-01-18 05:30:33,42.2302,-71.5301,470140,11560,324203.0,132285.0,25.0,6821.0343905544905,12775778.0,,2.9038158846301103,84000025.0,USA,1.853575979582453e-05,,2021-01-17,,,465726,4414.0,11495,65.0
Massachusetts,US,2021-01-19 05:30:28,42.2302,-71.5301,473441,11609,324203.0,135533.0,25.0,6868.927006633149,12826639.0,,2.894764078311764,84000025.0,USA,1.8609551566390323e-05,,2021-01-18,,,470140,3301.0,11560,49.0
