Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Minnesota,US,2021-01-02 05:30:44,45.6945,-93.9002,415302,5382,397080.0,12840.0,27.0,7363.9911256621,5351379.0,,1.2959244116329804,84000027.0,USA,94888.79770878667,,2021-01-01,,,,0.0,,0.0
Minnesota,US,2021-01-03 05:30:33,45.6945,-93.9002,417832,5436,398199.0,14197.0,27.0,7408.852208796602,5387936.0,,1.3010013593980356,84000027.0,USA,95537.01376260012,,2021-01-02,,,415302,2530.0,5382,54.0
Minnesota,US,2021-01-04 05:30:45,45.6945,-93.9002,420544,5489,403419.0,11636.0,27.0,7456.940452852243,5476196.0,,1.3052141987520924,84000027.0,USA,97102.00949281798,,2021-01-03,,,417832,2712.0,5436,53.0
Minnesota,US,2021-01-05 05:30:33,45.6945,-93.9002,423688,5502,405556.0,12630.0,27.0,7512.688771182233,5484851.0,,1.2985970808708294,84000027.0,USA,97255.47695310618,,2021-01-04,,,420544,3144.0,5489,13.0
Minnesota,US,2021-01-06 05:30:39,45.6945,-93.9002,425261,5520,406667.0,13074.0,27.0,7540.5806620006415,5499303.0,,1.2980263885002388,84000027.0,USA,97511.73480822863,,2021-01-05,,,423688,1573.0,5502,18.0
Minnesota,US,2021-01-07 05:30:38,45.6945,-93.9002,427587,5596,406910.0,15081.0,27.0,7581.824487838923,5519178.0,,1.3087395079831707,84000027.0,USA,97864.15141980896,,2021-01-06,,,425261,2326.0,5520,76.0
Minnesota,US,2021-01-08 05:30:47,45.6945,-93.9002,429570,5640,408510.0,15420.0,27.0,7616.986356556598,5553851.0,,1.3129408478245688,84000027.0,USA,98478.9610385926,,2021-01-07,,,427587,1983.0,5596,44.0
Minnesota,US,2021-01-09 05:30:45,45.6945,-93.9002,431944,5688,409727.0,16529.0,27.0,7659.081301758696,5597732.0,,1.3168373678069378,84000027.0,USA,99257.04372200172,,2021-01-08,,,429570,2374.0,5640,48.0
Minnesota,US,2021-01-10 05:30:28,45.6945,-93.9002,434413,5731,412546.0,16136.0,27.0,7702.860754035015,5635581.0,,1.3192514956964916,84000027.0,USA,99928.16907202455,,2021-01-09,,,431944,2469.0,5688,43.0
Minnesota,US,2021-01-11 05:30:40,45.6945,-93.9002,436572,5775,414756.0,16041.0,27.0,7741.143393753351,5670387.0,,1.3228058602017536,84000027.0,USA,100545.33700071213,,2021-01-10,,,434413,2159.0,5731,44.0
Minnesota,US,2021-01-12 05:30:28,45.6945,-93.9002,437552,5779,417005.0,14768.0,27.0,7758.520414097941,5687368.0,,1.3207573042746918,84000027.0,USA,100846.43820731566,,2021-01-11,,,436572,980.0,5775,4.0
Minnesota,US,2021-01-13 05:30:34,45.6945,-93.9002,438867,5792,418610.0,14465.0,27.0,7781.837538335834,5714994.0,,1.3197620235743404,84000027.0,USA,101336.29286449896,,2021-01-12,,,437552,1315.0,5779,13.0
