Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Montana,US,2021-01-02 05:30:44,46.9219,-110.4544,81555,961,74991.0,5603.0,30.0,7630.677278162537,791589.0,,1.178345901538839,84000030.0,USA,74064.86660466439,,2021-01-01,,,,0.0,,0.0
Montana,US,2021-01-03 05:30:33,46.9219,-110.4544,81944,971,75974.0,4999.0,30.0,7667.073985430089,792779.0,,1.1849555794200917,84000030.0,USA,74176.20871687104,,2021-01-02,,,81555,389.0,961,10.0
Montana,US,2021-01-04 05:30:45,46.9219,-110.4544,82381,972,76501.0,4908.0,30.0,7707.961803105977,795796.0,,1.179883711049878,84000030.0,USA,74458.49371899497,,2021-01-03,,,81944,437.0,971,1.0
Montana,US,2021-01-05 05:30:33,46.9219,-110.4544,82664,975,76633.0,5056.0,30.0,7734.440641555122,810880.0,,1.1794735314042388,84000030.0,USA,75869.82516481439,,2021-01-04,,,82381,283.0,972,3.0
Montana,US,2021-01-06 05:30:39,46.9219,-110.4544,83378,1005,77449.0,4924.0,30.0,7801.245908879112,813082.0,,1.205353930293363,84000030.0,USA,76075.85485479678,,2021-01-05,,,82664,714.0,975,30.0
Montana,US,2021-01-07 05:30:38,46.9219,-110.4544,84060,1015,78114.0,4931.0,30.0,7865.057102597546,817142.0,,1.2074708541517964,84000030.0,USA,76455.72794350183,,2021-01-06,,,83378,682.0,1005,10.0
Montana,US,2021-01-08 05:30:47,46.9219,-110.4544,84750,1038,78796.0,4916.0,30.0,7929.616814717368,823279.0,,1.224778761061947,84000030.0,USA,77029.93512216756,,2021-01-07,,,84060,690.0,1015,23.0
Montana,US,2021-01-09 05:30:45,46.9219,-110.4544,85568,1049,79114.0,5405.0,30.0,8006.152821259419,831887.0,,1.225925579655946,84000030.0,USA,77835.34092206239,,2021-01-08,,,84750,818.0,1038,11.0
Montana,US,2021-01-10 05:30:28,46.9219,-110.4544,86102,1054,79906.0,5142.0,30.0,8056.116424552152,837136.0,,1.2241295208009106,84000030.0,USA,78326.46255817391,,2021-01-09,,,85568,534.0,1049,5.0
Montana,US,2021-01-11 05:30:40,46.9219,-110.4544,86324,1056,80237.0,5031.0,30.0,8076.887810190704,842250.0,,1.223298271627821,84000030.0,USA,78804.952946262,,2021-01-10,,,86102,222.0,1054,2.0
Montana,US,2021-01-12 05:30:28,46.9219,-110.4544,86653,1057,80674.0,4922.0,30.0,8107.670629447836,845439.0,,1.219807738912675,84000030.0,USA,79103.33109401578,,2021-01-11,,,86324,329.0,1056,1.0
Montana,US,2021-01-13 05:30:34,46.9219,-110.4544,87077,1067,81183.0,4827.0,30.0,8147.342104721467,851594.0,,1.225352274423786,84000030.0,USA,79679.22243908464,,2021-01-12,,,86653,424.0,1057,10.0
Montana,US,2021-01-14 05:30:28,46.9219,-110.4544,87653,1069,81676.0,4908.0,30.0,8201.235429621493,855069.0,,1.219581759894128,84000030.0,USA,80004.36011968809,,2021-01-13,,,87077,576.0,1067,2.0
Montana,US,2021-01-15 05:30:28,46.9219,-110.4544,88110,1077,82190.0,4843.0,30.0,8243.994543300854,862427.0,,1.222335716717739,84000030.0,USA,80692.80991936586,,2021-01-14,,,87653,457.0,1069,8.0
