Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Nebraska,US,2021-01-02 05:30:44,41.1254,-98.2681,167716,1668,107694.0,58354.0,31.0,8670.146111885393,1755820.0,,0.994538386319731,84000031.0,USA,90767.82147302949,,2021-01-01,,,,0.0,,0.0
Nebraska,US,2021-01-03 05:30:33,41.1254,-98.2681,168262,1669,109705.0,56888.0,31.0,8698.371801605452,1766104.0,,0.9919054807383724,84000031.0,USA,91299.456991493,,2021-01-02,,,167716,546.0,1668,1.0
Nebraska,US,2021-01-04 05:30:45,41.1254,-98.2681,169000,1672,105963.0,61365.0,31.0,8736.523008589707,1769798.0,,0.9893491124260356,84000031.0,USA,91490.41980802396,,2021-01-03,,,168262,738.0,1669,3.0
Nebraska,US,2021-01-05 05:30:33,41.1254,-98.2681,169585,1682,112856.0,55047.0,31.0,8766.764819004056,1775908.0,,0.9918330040982398,84000031.0,USA,91806.27871679603,,2021-01-04,,,169000,585.0,1672,10.0
Nebraska,US,2021-01-06 05:30:39,41.1254,-98.2681,171033,1692,114249.0,55092.0,31.0,8841.619761704873,1781797.0,,0.989282769991756,84000031.0,USA,92110.71294163384,,2021-01-05,,,169585,1448.0,1682,10.0
Nebraska,US,2021-01-07 05:30:38,41.1254,-98.2681,172469,1703,114249.0,56517.0,31.0,8915.854359576677,1795682.0,,0.9874238268906296,84000031.0,USA,92828.50360420346,,2021-01-06,,,171033,1436.0,1692,11.0
Nebraska,US,2021-01-08 05:30:47,41.1254,-98.2681,173591,1719,116295.0,55577.0,31.0,8973.856601089325,1813522.0,,0.990258711569148,84000031.0,USA,93750.74958333504,,2021-01-07,,,172469,1122.0,1703,16.0
Nebraska,US,2021-01-09 05:30:45,41.1254,-98.2681,174614,1733,117589.0,55292.0,31.0,9026.740997762625,1825632.0,,0.9924748301968914,84000031.0,USA,94376.78090661328,,2021-01-08,,,173591,1023.0,1719,14.0
Nebraska,US,2021-01-10 05:30:28,41.1254,-98.2681,175620,1737,119393.0,54490.0,31.0,9078.74657259482,1837671.0,,0.9890673044072428,84000031.0,USA,94999.14185631988,,2021-01-09,,,174614,1006.0,1733,4.0
Nebraska,US,2021-01-11 05:30:40,41.1254,-98.2681,176026,1760,120729.0,53537.0,31.0,9099.734905976402,1848089.0,,0.9998522945473964,84000031.0,USA,95537.70455870737,,2021-01-10,,,175620,406.0,1737,23.0
Nebraska,US,2021-01-12 05:30:28,41.1254,-98.2681,176670,1772,121710.0,53188.0,31.0,9133.026745133397,1852051.0,,1.0029999433972945,84000031.0,USA,95742.52174308622,,2021-01-11,,,176026,644.0,1760,12.0
Nebraska,US,2021-01-13 05:30:34,41.1254,-98.2681,177670,1791,122564.0,53315.0,31.0,9184.722147551083,1861366.0,,1.008048629481623,84000031.0,USA,96224.06441660704,,2021-01-12,,,176670,1000.0,1772,19.0
Nebraska,US,2021-01-14 05:30:28,41.1254,-98.2681,179199,1803,120700.0,56696.0,31.0,9263.764417847737,1874707.0,,1.0061440075000418,84000031.0,USA,96913.73278026146,,2021-01-13,,,177670,1529.0,1791,12.0
Nebraska,US,2021-01-15 05:30:28,41.1254,-98.2681,180131,1818,123234.0,55079.0,31.0,9311.94453290102,1887154.0,,1.0092654790124964,84000031.0,USA,97557.18545415445,,2021-01-14,,,179199,932.0,1803,15.0
Nebraska,US,2021-01-16 05:30:49,41.1254,-98.2681,180910,1837,124233.0,54840.0,31.0,9352.215251384405,1894614.0,,1.0154220330551105,84000031.0,USA,97942.83315619043,,2021-01-15,,,180131,779.0,1818,19.0
Nebraska,US,2021-01-17 05:30:35,41.1254,-98.2681,180910,1837,124963.0,54110.0,31.0,9352.215251384405,1908692.0,,1.0154220330551105,84000031.0,USA,98670.60103142668,,2021-01-16,,,180910,0.0,1837,0.0
Nebraska,US,2021-01-18 05:30:33,41.1254,-98.2681,181978,1837,124963.0,55178.0,31.0,9407.425941166495,1908692.0,,1.0094626823022563,84000031.0,USA,98670.60103142668,,2021-01-17,,,180910,1068.0,1837,0.0
Nebraska,US,2021-01-19 05:30:28,41.1254,-98.2681,182176,1842,126504.0,53830.0,31.0,9417.6616308452,1941744.0,,1.0111101352538203,84000031.0,USA,100379.23747213616,,2021-01-18,,,181978,198.0,1837,5.0
Nebraska,US,2021-01-20 05:30:46,41.1254,-98.2681,182176,1842,127221.0,53113.0,31.0,9417.6616308452,1944011.0,,1.0111101352538203,84000031.0,USA,100496.43094941707,,2021-01-19,,,182176,0.0,1842,0.0
Nebraska,US,2021-01-21 05:30:34,41.1254,-98.2681,184482,1862,127221.0,55399.0,31.0,9536.871228820391,1944011.0,,1.009312561659132,84000031.0,USA,100496.43094941707,,2021-01-20,,,182176,2306.0,1842,20.0
Nebraska,US,2021-01-22 05:30:39,41.1254,-98.2681,185346,1868,129608.0,53870.0,31.0,9581.536056509278,1966167.0,,1.00784478758646,84000031.0,USA,101641.79428538344,,2021-01-21,,,184482,864.0,1862,6.0
Nebraska,US,2021-01-23 05:30:27,41.1254,-98.2681,186255,1878,130527.0,53850.0,31.0,9628.52717730696,1988904.0,,1.0082950793267296,84000031.0,USA,102817.19265015448,,2021-01-22,,,185346,909.0,1868,10.0
Nebraska,US,2021-01-24 05:30:28,41.1254,-98.2681,186854,1879,131242.0,53733.0,31.0,9659.492723355155,1998438.0,,1.005597953482398,84000031.0,USA,103310.05661680472,,2021-01-23,,,186255,599.0,1878,1.0
Nebraska,US,2021-01-25 05:30:45,41.1254,-98.2681,187147,1879,131828.0,53440.0,31.0,9674.63947626354,2021416.0,,1.0040235750506286,84000031.0,USA,104497.91357355844,,2021-01-24,,,186854,293.0,1879,0.0
Nebraska,US,2021-01-26 05:30:28,41.1254,-98.2681,187793,1894,132453.0,53446.0,31.0,9708.034706225368,2026028.0,,1.008557294467845,84000031.0,USA,104736.3327695088,,2021-01-25,,,187147,646.0,1879,15.0
