Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
New Hampshire,US,2021-01-02 05:30:44,43.4525,-71.5639,45932,759,37350.0,7823.0,33.0,3378.070781217479,1035377.0,,1.6524427414438736,84000033.0,USA,76146.84296883676,,2021-01-01,,,,0.0,,0.0
New Hampshire,US,2021-01-03 05:30:33,43.4525,-71.5639,46614,769,37947.0,7898.0,33.0,3428.228498555943,1040626.0,,1.649718968550221,84000033.0,USA,76532.88088424673,,2021-01-02,,,45932,682.0,759,10.0
New Hampshire,US,2021-01-04 05:30:45,43.4525,-71.5639,47376,780,39574.0,7022.0,33.0,3484.269819101265,1045340.0,,1.646403242147923,84000033.0,USA,76879.57220321083,,2021-01-03,,,46614,762.0,769,11.0
New Hampshire,US,2021-01-05 05:30:33,43.4525,-71.5639,47870,781,40347.0,6742.0,33.0,3520.6010689036125,1049697.0,,1.6315019845414664,84000033.0,USA,77200.00794286432,,2021-01-04,,,47376,494.0,780,1.0
New Hampshire,US,2021-01-06 05:30:39,43.4525,-71.5639,48662,792,40720.0,7150.0,33.0,3578.848740651506,1055047.0,,1.6275533270313591,84000033.0,USA,77593.47390732296,,2021-01-05,,,47870,792.0,781,11.0
New Hampshire,US,2021-01-07 05:30:38,43.4525,-71.5639,49584,816,41237.0,7531.0,33.0,3646.657267610544,1062596.0,,1.6456921587608906,84000033.0,USA,78148.66541493009,,2021-01-06,,,48662,922.0,792,24.0
New Hampshire,US,2021-01-08 05:30:47,43.4525,-71.5639,50337,827,41804.0,7706.0,33.0,3702.036682795094,1072176.0,,1.6429266742157855,84000033.0,USA,78853.22689895132,,2021-01-07,,,49584,753.0,816,11.0
New Hampshire,US,2021-01-09 05:30:45,43.4525,-71.5639,51289,846,42495.0,7948.0,33.0,3772.0515609567033,1082062.0,,1.6494764959348007,84000033.0,USA,79580.29316523879,,2021-01-08,,,50337,952.0,827,19.0
New Hampshire,US,2021-01-10 05:30:28,43.4525,-71.5639,52371,862,43374.0,8135.0,33.0,3851.6272943294566,1091283.0,,1.6459490939642167,84000033.0,USA,80258.45197986925,,2021-01-09,,,51289,1082.0,846,16.0
New Hampshire,US,2021-01-11 05:30:40,43.4525,-71.5639,52980,869,44277.0,7834.0,33.0,3896.416223741663,1097899.0,,1.6402416006040017,84000033.0,USA,80745.0259650764,,2021-01-10,,,52371,609.0,862,7.0
New Hampshire,US,2021-01-12 05:30:28,43.4525,-71.5639,53913,869,45320.0,7724.0,33.0,3965.0337461416434,1103514.0,,1.61185613859366,84000033.0,USA,81157.98136515774,,2021-01-11,,,52980,933.0,869,0.0
New Hampshire,US,2021-01-13 05:30:34,43.4525,-71.5639,54516,878,46031.0,7607.0,33.0,4009.381405313335,1109189.0,,1.6105363562990682,84000033.0,USA,81575.34946764422,,2021-01-12,,,53913,603.0,869,9.0
New Hampshire,US,2021-01-14 05:30:28,43.4525,-71.5639,55378,885,46633.0,7860.0,33.0,4072.777229867229,1117642.0,,1.5981075517353462,84000033.0,USA,82197.02569148886,,2021-01-13,,,54516,862.0,878,7.0
New Hampshire,US,2021-01-15 05:30:28,43.4525,-71.5639,55957,897,47153.0,7907.0,33.0,4115.359808076863,1128490.0,,1.6030166020337044,84000033.0,USA,82994.84228633878,,2021-01-14,,,55378,579.0,885,12.0
New Hampshire,US,2021-01-16 05:30:49,43.4525,-71.5639,56966,908,48018.0,8040.0,33.0,4189.566753523359,1138413.0,,1.5939332233261945,84000033.0,USA,83724.62971910943,,2021-01-15,,,55957,1009.0,897,11.0
New Hampshire,US,2021-01-17 05:30:35,43.4525,-71.5639,57605,927,48937.0,7741.0,33.0,4236.562034138136,1146591.0,,1.609235309434945,84000033.0,USA,84326.08105693047,,2021-01-16,,,56966,639.0,908,19.0
New Hampshire,US,2021-01-18 05:30:33,43.4525,-71.5639,58229,933,49544.0,7752.0,33.0,4282.454139151629,1153941.0,,1.602294389393601,84000033.0,USA,84866.63710156055,,2021-01-17,,,57605,624.0,927,6.0
New Hampshire,US,2021-01-19 05:30:28,43.4525,-71.5639,58709,933,50487.0,7289.0,33.0,4317.755758392776,1158838.0,,1.5891941610315283,84000033.0,USA,85226.78716286035,,2021-01-18,,,58229,480.0,933,0.0
New Hampshire,US,2021-01-20 05:30:46,43.4525,-71.5639,59228,938,51645.0,6645.0,33.0,4355.925634197267,1164279.0,,1.583710407239819,84000033.0,USA,85626.94572596677,,2021-01-19,,,58709,519.0,933,5.0
