Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
New Jersey,US,2021-01-02 05:30:44,40.2989,-74.521,535043,19160,56109.0,459774.0,34.0,6023.773416240814,7792714.0,,3.5810205908683974,84000034.0,USA,87734.15114966016,,2021-01-01,,,,0.0,,0.0
New Jersey,US,2021-01-03 05:30:33,40.2989,-74.521,541202,19187,56575.0,465440.0,34.0,6093.114423357302,7798225.0,,3.5452566694136385,84000034.0,USA,87796.19665870692,,2021-01-02,,,535043,6159.0,19160,27.0
New Jersey,US,2021-01-04 05:30:45,40.2989,-74.521,545450,19208,56873.0,469369.0,34.0,6140.940466258884,7801895.0,,3.5214960124667707,84000034.0,USA,87837.51529746606,,2021-01-03,,,541202,4248.0,19187,21.0
New Jersey,US,2021-01-05 05:30:33,40.2989,-74.521,547247,19225,57168.0,470854.0,34.0,6161.171963220782,7804170.0,,3.5130389019948947,84000034.0,USA,87863.12835010285,,2021-01-04,,,545450,1797.0,19208,17.0
New Jersey,US,2021-01-06 05:30:39,40.2989,-74.521,554400,19382,57439.0,477579.0,34.0,6241.703904104731,8067673.0,,3.496031746031746,84000034.0,USA,90829.7728375547,,2021-01-05,,,547247,7153.0,19225,157.0
New Jersey,US,2021-01-07 05:30:38,40.2989,-74.521,560057,19523,57888.0,482646.0,34.0,6305.393151914112,8113523.0,,3.4858951856686016,84000034.0,USA,91345.974359927,,2021-01-06,,,554400,5657.0,19382,141.0
New Jersey,US,2021-01-08 05:30:47,40.2989,-74.521,566761,19646,58335.0,488780.0,34.0,6380.870033178754,8121062.0,,3.46636412879503,84000034.0,USA,91430.8520758957,,2021-01-07,,,560057,6704.0,19523,123.0
New Jersey,US,2021-01-09 05:30:45,40.2989,-74.521,572692,19756,58799.0,494137.0,34.0,6447.644105789225,8191028.0,,3.449672773497797,84000034.0,USA,92218.56321470268,,2021-01-08,,,566761,5931.0,19646,110.0
New Jersey,US,2021-01-10 05:30:28,40.2989,-74.521,579250,19854,59246.0,500150.0,34.0,6521.477248291243,8240865.0,,3.42753560638757,84000034.0,USA,92779.65231547624,,2021-01-09,,,572692,6558.0,19756,98.0
New Jersey,US,2021-01-11 05:30:40,40.2989,-74.521,584828,19854,59705.0,505269.0,34.0,6584.277075811258,8246511.0,,3.3948442961007337,84000034.0,USA,92843.2177199542,,2021-01-10,,,579250,5578.0,19854,0.0
