Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
North Carolina,US,2021-01-02 05:30:44,35.6301,-79.8064,539545,6748,403488.0,129309.0,37.0,5144.361925400292,7004021.0,,1.2506834462371073,84000037.0,USA,6.678074851421861e-06,,2021-01-01,,,,0.0,,0.0
North Carolina,US,2021-01-03 05:30:33,35.6301,-79.8064,558437,6892,403488.0,148057.0,37.0,5324.490154731789,7079787.0,,1.2341589113901836,84000037.0,USA,6.750314928827801e-06,,2021-01-02,,,539545,18892.0,6748,144.0
North Carolina,US,2021-01-04 05:30:45,35.6301,-79.8064,564924,6910,403488.0,154526.0,37.0,5386.341299325978,7126713.0,,1.2231733826142983,84000037.0,USA,6.795057133409686e-06,,2021-01-03,,,558437,6487.0,6892,18.0
North Carolina,US,2021-01-05 05:30:33,35.6301,-79.8064,570111,6941,487090.0,76080.0,37.0,5435.797424963415,7166090.0,,1.2174822096047964,84000037.0,USA,6.832601645829686e-06,,2021-01-04,,,564924,5187.0,6910,31.0
North Carolina,US,2021-01-06 05:30:39,35.6301,-79.8064,575396,6996,487090.0,81310.0,37.0,5486.187944337593,7193986.0,,1.2158582958519002,84000037.0,USA,6.859199449584881e-06,,2021-01-05,,,570111,5285.0,6941,55.0
North Carolina,US,2021-01-07 05:30:38,35.6301,-79.8064,582348,7076,487090.0,88182.0,37.0,5552.472691866312,7244051.0,,1.2150810168490318,84000037.0,USA,6.906934574513324e-06,,2021-01-06,,,575396,6952.0,6996,80.0
North Carolina,US,2021-01-08 05:30:47,35.6301,-79.8064,592746,7213,487090.0,98443.0,37.0,5651.61377426039,7315391.0,,1.216878730518637,84000037.0,USA,6.974954624695988e-06,,2021-01-07,,,582348,10398.0,7076,137.0
North Carolina,US,2021-01-09 05:30:45,35.6301,-79.8064,602774,7328,487090.0,108356.0,37.0,5747.227043566775,7395555.0,,1.215712688337586,84000037.0,USA,7.051388032361297e-06,,2021-01-08,,,592746,10028.0,7213,115.0
North Carolina,US,2021-01-10 05:30:28,35.6301,-79.8064,614355,7425,487090.0,119840.0,37.0,5857.647593211496,7468514.0,,1.2085846131308446,84000037.0,USA,7.120951739135576e-06,,2021-01-09,,,602774,11581.0,7328,97.0
North Carolina,US,2021-01-11 05:30:40,35.6301,-79.8064,623188,7567,487090.0,128531.0,37.0,5941.866979707638,7539268.0,,1.21424032555184,84000037.0,USA,7.188413060002189e-06,,2021-01-10,,,614355,8833.0,7425,142.0
North Carolina,US,2021-01-12 05:30:28,35.6301,-79.8064,629124,7578,521475.0,100071.0,37.0,5998.464543190157,7658880.0,,1.204532015945982,84000037.0,USA,7.302458675960262e-06,,2021-01-11,,,623188,5936.0,7567,11.0
North Carolina,US,2021-01-13 05:30:34,35.6301,-79.8064,635975,7638,521475.0,106862.0,37.0,6063.7862930922365,7693674.0,,1.2009906049766108,84000037.0,USA,7.335633467466508e-06,,2021-01-12,,,629124,6851.0,7578,60.0
North Carolina,US,2021-01-14 05:30:28,35.6301,-79.8064,641073,7745,521475.0,111853.0,37.0,6112.393836662635,7745961.0,,1.208130743300685,84000037.0,USA,7.385487187173558e-06,,2021-01-13,,,635975,5098.0,7638,107.0
North Carolina,US,2021-01-15 05:30:28,35.6301,-79.8064,650926,7825,521475.0,121626.0,37.0,6206.338545724843,7825069.0,,1.2021335758596214,84000037.0,USA,7.460913737914381e-06,,2021-01-14,,,641073,9853.0,7745,80.0
North Carolina,US,2021-01-16 05:30:49,35.6301,-79.8064,659840,7933,521475.0,130432.0,37.0,6291.33023724829,7904115.0,,1.2022611542192048,84000037.0,USA,7.536281173949408e-06,,2021-01-15,,,650926,8914.0,7825,108.0
North Carolina,US,2021-01-17 05:30:35,35.6301,-79.8064,667826,8016,521475.0,138335.0,37.0,6367.47379216261,7984961.0,,1.2003126562907105,84000037.0,USA,7.613364843378447e-06,,2021-01-16,,,659840,7986.0,7933,83.0
North Carolina,US,2021-01-18 05:30:33,35.6301,-79.8064,674637,8083,521475.0,145079.0,37.0,6432.414156866021,8059585.0,,1.1981258069154226,84000037.0,USA,7.684516066042186e-06,,2021-01-17,,,667826,6811.0,8016,67.0
North Carolina,US,2021-01-19 05:30:28,35.6301,-79.8064,674637,8083,521475.0,145079.0,37.0,6432.414156866021,8115429.0,,1.1981258069154226,84000037.0,USA,7.737761253628404e-06,,2021-01-18,,,674637,0.0,8083,0.0
North Carolina,US,2021-01-20 05:30:46,35.6301,-79.8064,684497,8139,579573.0,96785.0,37.0,6526.425608337996,8150994.0,,1.189048308465925,84000037.0,USA,7.771671165105085e-06,,2021-01-19,,,674637,9860.0,8083,56.0
North Carolina,US,2021-01-21 05:30:34,35.6301,-79.8064,690912,8200,579573.0,103139.0,37.0,6587.59025957458,8201089.0,,1.186837108054282,84000037.0,USA,7.819434893923429e-06,,2021-01-20,,,684497,6415.0,8139,61.0
North Carolina,US,2021-01-22 05:30:39,35.6301,-79.8064,698099,8339,579573.0,110187.0,37.0,6656.115645145482,8268426.0,,1.1945297156993493,84000037.0,USA,7.883638231730409e-06,,2021-01-21,,,690912,7187.0,8200,139.0
North Carolina,US,2021-01-23 05:30:27,35.6301,-79.8064,705535,8464,579573.0,117498.0,37.0,6727.015153578099,8348871.0,,1.1996569978810403,84000037.0,USA,7.960339562497783e-06,,2021-01-22,,,698099,7436.0,8339,125.0
North Carolina,US,2021-01-24 05:30:28,35.6301,-79.8064,712716,8586,579573.0,124557.0,37.0,6795.4833313692,8415331.0,,1.204687421076558,84000037.0,USA,8.023706713256682e-06,,2021-01-23,,,705535,7181.0,8464,122.0
North Carolina,US,2021-01-25 05:30:45,35.6301,-79.8064,718812,8695,579573.0,130544.0,37.0,6853.606435646397,8475656.0,,1.2096347862862613,84000037.0,USA,8.081224368530992e-06,,2021-01-24,,,712716,6096.0,8586,109.0
North Carolina,US,2021-01-26 05:30:28,35.6301,-79.8064,723445,8720,635543.0,79182.0,37.0,6897.780376282265,8528344.0,,1.2053438754846602,84000037.0,USA,8.131460426899708e-06,,2021-01-25,,,718812,4633.0,8695,25.0
North Carolina,US,2021-01-27 05:30:51,35.6301,-79.8064,727423,8776,635543.0,83104.0,37.0,6935.709134289924,8559421.0,,1.206450717120575,84000037.0,USA,8.161091196447321e-06,,2021-01-26,,,723445,3978.0,8720,56.0
North Carolina,US,2021-01-28 05:30:28,35.6301,-79.8064,733010,8915,635543.0,88552.0,37.0,6988.979111914054,8603783.0,,1.2162180597809034,84000037.0,USA,8.203388721905736e-06,,2021-01-27,,,727423,5587.0,8776,139.0
North Carolina,US,2021-01-29 05:30:28,35.6301,-79.8064,739500,9046,635543.0,94911.0,37.0,7050.858860398143,8673785.0,,1.2232589587559162,84000037.0,USA,8.270133038598852e-06,,2021-01-28,,,733010,6490.0,8915,131.0
North Carolina,US,2021-01-30 05:30:40,35.6301,-79.8064,746459,9157,635543.0,101759.0,37.0,7117.21035033663,8751112.0,,1.2267251114930626,84000037.0,USA,8.3438614717426e-06,,2021-01-29,,,739500,6959.0,9046,111.0
North Carolina,US,2021-01-31 05:30:41,35.6301,-79.8064,752627,9287,635543.0,107797.0,37.0,7176.019947971431,8816539.0,,1.23394457015228,84000037.0,USA,8.406243695225934e-06,,2021-01-30,,,746459,6168.0,9157,130.0
North Carolina,US,2021-02-01 05:30:44,35.6301,-79.8064,757526,9335,635543.0,112648.0,37.0,7222.73010017845,8878592.0,,1.232300937525577,84000037.0,USA,8.465408934558495e-06,,2021-01-31,,,752627,4899.0,9287,48.0
North Carolina,US,2021-02-02 05:30:40,35.6301,-79.8064,761302,9342,683697.0,68263.0,37.0,7258.732862932829,8926062.0,,1.2271082960507131,84000037.0,USA,8.510669823010571e-06,,2021-02-01,,,757526,3776.0,9335,7.0
North Carolina,US,2021-02-03 05:30:38,35.6301,-79.8064,764228,9409,683697.0,71122.0,37.0,7286.631190215487,8950726.0,,1.231177083278812,84000037.0,USA,8.534186034360519e-06,,2021-02-02,,,761302,2926.0,9342,67.0
North Carolina,US,2021-02-04 05:30:42,35.6301,-79.8064,776307,9578,683697.0,83032.0,37.0,7401.79998558364,9023315.0,,1.2337902402013636,84000037.0,USA,8.603396959826027e-06,,2021-02-03,,,764228,12079.0,9409,169.0
