Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
North Dakota,US,2021-01-02 05:30:44,47.5289,-99.784,92200,1316,89314.0,2140.0,38.0,12173.550183580865,1277930.0,,1.4185620351406705,84000038.0,USA,167693.70471169017,,2021-01-01,,,,0.0,,0.0
North Dakota,US,2021-01-03 05:30:33,47.5289,-99.784,92361,1317,89582.0,1992.0,38.0,12189.428156764148,1290077.0,,1.4177907439902682,84000038.0,USA,169287.66950720546,,2021-01-02,,,92200,161.0,1316,1.0
North Dakota,US,2021-01-04 05:30:45,47.5289,-99.784,92544,1317,89879.0,1845.0,38.0,12209.111594594666,1291452.0,,1.4155049924226957,84000038.0,USA,169468.10102065187,,2021-01-03,,,92361,183.0,1317,0.0
North Dakota,US,2021-01-05 05:30:33,47.5289,-99.784,92786,1319,90013.0,1908.0,38.0,12235.22495544982,1256505.0,,1.4146289146289146,84000038.0,USA,164882.25367489786,,2021-01-04,,,92544,242.0,1317,2.0
North Dakota,US,2021-01-06 05:30:39,47.5289,-99.784,93081,1336,90281.0,1877.0,38.0,12268.55557684283,1258364.0,,1.4289687038740453,84000038.0,USA,165126.19708107738,,2021-01-05,,,92786,295.0,1319,17.0
North Dakota,US,2021-01-07 05:30:38,47.5289,-99.784,93400,1341,90511.0,1980.0,38.0,12312.90892342093,1262673.0,,1.429149970159434,84000038.0,USA,165691.63663848874,,2021-01-06,,,93081,319.0,1336,5.0
North Dakota,US,2021-01-08 05:30:47,47.5289,-99.784,93669,1348,90726.0,2082.0,38.0,12355.425149134848,1268083.0,,1.431666595862186,84000038.0,USA,166401.55262957606,,2021-01-07,,,93400,269.0,1341,7.0
North Dakota,US,2021-01-09 05:30:45,47.5289,-99.784,93848,1359,90964.0,2115.0,38.0,12392.43001225622,1273911.0,,1.4390393697452295,84000038.0,USA,167166.31980075108,,2021-01-08,,,93669,179.0,1348,11.0
North Dakota,US,2021-01-10 05:30:28,47.5289,-99.784,93936,1360,91222.0,1976.0,38.0,12408.176762520634,1275907.0,,1.438270691004463,84000038.0,USA,167428.24074681586,,2021-01-09,,,93848,88.0,1359,1.0
North Dakota,US,2021-01-11 05:30:40,47.5289,-99.784,94057,1360,91465.0,1891.0,38.0,12428.909983702111,1278553.0,,1.4358714472739558,84000038.0,USA,167775.4565901462,,2021-01-10,,,93936,121.0,1360,0.0
North Dakota,US,2021-01-12 05:30:28,47.5289,-99.784,94303,1360,91597.0,1873.0,38.0,12443.869396453309,1280626.0,,1.4341453126647683,84000038.0,USA,168047.48170096395,,2021-01-11,,,94057,246.0,1360,0.0
North Dakota,US,2021-01-13 05:30:34,47.5289,-99.784,94523,1363,91850.0,1755.0,38.0,12461.978159257384,1282799.0,,1.435220284727487,84000038.0,USA,168332.62910366873,,2021-01-12,,,94303,220.0,1360,3.0
North Dakota,US,2021-01-14 05:30:28,47.5289,-99.784,94762,1364,92029.0,1742.0,38.0,12483.892386708692,1287521.0,,1.4337520365795977,84000038.0,USA,168952.26372657347,,2021-01-13,,,94523,239.0,1363,1.0
North Dakota,US,2021-01-15 05:30:28,47.5289,-99.784,94991,1372,92249.0,1757.0,38.0,12515.779555994131,1294101.0,,1.438486862798549,84000038.0,USA,169815.7105327388,,2021-01-14,,,94762,229.0,1364,8.0
North Dakota,US,2021-01-16 05:30:49,47.5289,-99.784,95116,1395,92551.0,1653.0,38.0,12544.779821064429,1298741.0,,1.4592202847310118,84000038.0,USA,170424.58487629614,,2021-01-15,,,94991,125.0,1372,23.0
North Dakota,US,2021-01-17 05:30:35,47.5289,-99.784,95267,1403,92820.0,1491.0,38.0,12559.870456734492,1301427.0,,1.4658252711202122,84000038.0,USA,170777.0496363813,,2021-01-16,,,95116,151.0,1395,8.0
North Dakota,US,2021-01-18 05:30:33,47.5289,-99.784,95336,1406,93020.0,1438.0,38.0,12579.55389456501,1305288.0,,1.466661103229575,84000038.0,USA,171283.7013261388,,2021-01-17,,,95267,69.0,1403,3.0
North Dakota,US,2021-01-19 05:30:28,47.5289,-99.784,95472,1406,93173.0,1355.0,38.0,12588.739498885918,1306720.0,,1.4655909270957117,84000038.0,USA,171471.61254596082,,2021-01-18,,,95336,136.0,1406,0.0
North Dakota,US,2021-01-20 05:30:46,47.5289,-99.784,95627,1408,93451.0,1212.0,38.0,12606.717038771125,1307962.0,,1.4655827460940347,84000038.0,USA,171634.5914111975,,2021-01-19,,,95472,155.0,1406,2.0
North Dakota,US,2021-01-21 05:30:34,47.5289,-99.784,95774,1409,93658.0,1155.0,38.0,12626.531699520512,1311137.0,,1.4643220885036683,84000038.0,USA,172051.22417861017,,2021-01-20,,,95627,147.0,1408,1.0
North Dakota,US,2021-01-22 05:30:39,47.5289,-99.784,95958,1422,93801.0,1146.0,38.0,12645.82146859442,1315777.0,,1.4755782461164897,84000038.0,USA,172660.09852216748,,2021-01-21,,,95774,184.0,1409,13.0
North Dakota,US,2021-01-23 05:30:27,47.5289,-99.784,96121,1428,93980.0,1157.0,38.0,12671.541160692965,1319901.0,,1.4787966654584994,84000038.0,USA,173201.26183958785,,2021-01-22,,,95958,163.0,1422,6.0
North Dakota,US,2021-01-24 05:30:28,47.5289,-99.784,96216,1436,94148.0,1136.0,38.0,12691.880713117833,1323998.0,,1.484698097601323,84000038.0,USA,173738.88213819874,,2021-01-23,,,96121,95.0,1428,8.0
North Dakota,US,2021-01-25 05:30:45,47.5289,-99.784,96270,1436,94309.0,1072.0,38.0,12704.609336248232,1325891.0,,1.4832105931809496,84000038.0,USA,173987.28712361987,,2021-01-24,,,96216,54.0,1436,0.0
North Dakota,US,2021-01-26 05:30:28,47.5289,-99.784,96400,1436,94381.0,1057.0,38.0,12712.08904262383,1327227.0,,1.4823378821974935,84000038.0,USA,174162.60094323035,,2021-01-25,,,96270,130.0,1436,0.0
North Dakota,US,2021-01-27 05:30:51,47.5289,-99.784,96557,1440,94584.0,982.0,38.0,12729.410467914684,1328400.0,,1.4844442611797208,84000038.0,USA,174316.525427065,,2021-01-26,,,96400,157.0,1436,4.0
North Dakota,US,2021-01-28 05:30:28,47.5289,-99.784,96701,1441,94728.0,991.0,38.0,12749.618797420682,1333029.0,,1.4831206257719225,84000038.0,USA,174923.95631851474,,2021-01-27,,,96557,144.0,1440,1.0
