Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Northern Mariana Islands,US,2021-01-02 05:30:44,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-01,,,,0.0,,0.0
Northern Mariana Islands,US,2021-01-03 05:30:33,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-02,,,122,0.0,2,0.0
Northern Mariana Islands,US,2021-01-04 05:30:45,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-03,,,122,0.0,2,0.0
Northern Mariana Islands,US,2021-01-05 05:30:33,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-04,,,122,0.0,2,0.0
Northern Mariana Islands,US,2021-01-06 05:30:39,15.0979,145.6739,122,2,29.0,91.0,69.0,221.2389380530973,17551.0,,1.639344262295082,580.0,MNP,31827.57870303206,,2021-01-05,,,122,0.0,2,0.0
Northern Mariana Islands,US,2021-01-07 05:30:38,15.0979,145.6739,125,2,29.0,94.0,69.0,226.67923980850136,17553.0,,1.6,580.0,MNP,31831.205570869,,2021-01-06,,,122,3.0,2,0.0
Northern Mariana Islands,US,2021-01-08 05:30:47,15.0979,145.6739,125,2,29.0,94.0,69.0,226.67923980850136,17554.0,,1.6,580.0,MNP,31833.019004787468,,2021-01-07,,,125,0.0,2,0.0
Northern Mariana Islands,US,2021-01-09 05:30:45,15.0979,145.6739,125,2,29.0,94.0,69.0,226.67923980850136,17554.0,,1.6,580.0,MNP,31833.019004787468,,2021-01-08,,,125,0.0,2,0.0
Northern Mariana Islands,US,2021-01-10 05:30:28,15.0979,145.6739,125,2,29.0,94.0,69.0,226.67923980850136,17554.0,,1.6,580.0,MNP,31833.019004787468,,2021-01-09,,,125,0.0,2,0.0
Northern Mariana Islands,US,2021-01-11 05:30:40,15.0979,145.6739,125,2,29.0,94.0,69.0,226.67923980850136,17554.0,,1.6,580.0,MNP,31833.019004787468,,2021-01-10,,,125,0.0,2,0.0
Northern Mariana Islands,US,2021-01-12 05:30:28,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17554.0,,1.5625,580.0,MNP,31833.019004787468,,2021-01-11,,,125,3.0,2,0.0
Northern Mariana Islands,US,2021-01-13 05:30:34,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-12,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-14 05:30:28,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-13,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-15 05:30:28,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-14,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-16 05:30:49,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-15,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-17 05:30:35,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-16,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-18 05:30:33,15.0979,145.6739,128,2,29.0,97.0,69.0,232.1195415639054,17557.0,,1.5625,580.0,MNP,31838.45930654287,,2021-01-17,,,128,0.0,2,0.0
Northern Mariana Islands,US,2021-01-19 05:30:28,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17557.0,,1.550387596899225,580.0,MNP,31838.45930654287,,2021-01-18,,,128,1.0,2,0.0
Northern Mariana Islands,US,2021-01-20 05:30:46,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17558.0,,1.550387596899225,580.0,MNP,31840.27274046134,,2021-01-19,,,129,0.0,2,0.0
Northern Mariana Islands,US,2021-01-21 05:30:34,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17558.0,,1.550387596899225,580.0,MNP,31840.27274046134,,2021-01-20,,,129,0.0,2,0.0
Northern Mariana Islands,US,2021-01-22 05:30:39,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17558.0,,1.550387596899225,580.0,MNP,31840.27274046134,,2021-01-21,,,129,0.0,2,0.0
Northern Mariana Islands,US,2021-01-23 05:30:27,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17558.0,,1.550387596899225,580.0,MNP,31840.27274046134,,2021-01-22,,,129,0.0,2,0.0
Northern Mariana Islands,US,2021-01-24 05:30:28,15.0979,145.6739,129,2,29.0,98.0,69.0,233.93297548237345,17558.0,,1.550387596899225,580.0,MNP,31840.27274046134,,2021-01-23,,,129,0.0,2,0.0
