Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Ohio,US,2021-01-02 05:30:44,40.3888,-82.7649,700380,13766,556106.0,130508.0,39.0,5991.735890701594,8757248.0,,1.9655044404466149,84000039.0,USA,7.491806897023723e-06,,2021-01-01,,,,0.0,,0.0
Ohio,US,2021-01-03 05:30:33,40.3888,-82.7649,714673,13919,573641.0,127113.0,39.0,6114.012199399441,8793702.0,,1.9476040091062623,84000039.0,USA,7.522993215901995e-06,,2021-01-02,,,700380,14293.0,13766,153.0
Ohio,US,2021-01-04 05:30:45,40.3888,-82.7649,721481,14053,579583.0,127845.0,39.0,6172.2544935024935,8819448.0,,1.9477990411389905,84000039.0,USA,7.545018863727746e-06,,2021-01-03,,,714673,6808.0,13919,134.0
Ohio,US,2021-01-05 05:30:33,40.3888,-82.7649,727423,14216,585091.0,128115.0,39.0,6223.088176164119,8873962.0,,1.95443366514394,84000039.0,USA,7.591655473903038e-06,,2021-01-04,,,721481,5942.0,14053,163.0
Ohio,US,2021-01-06 05:30:39,40.3888,-82.7649,735003,14352,596221.0,124430.0,39.0,6287.934913723041,8945163.0,,1.9526450912445248,84000039.0,USA,7.652567776817719e-06,,2021-01-05,,,727423,7580.0,14216,136.0
Ohio,US,2021-01-07 05:30:38,40.3888,-82.7649,742817,14507,605474.0,122836.0,39.0,6354.783516267292,9029702.0,,1.95297092015934,84000039.0,USA,7.724890710148771e-06,,2021-01-06,,,735003,7814.0,14352,155.0
Ohio,US,2021-01-08 05:30:47,40.3888,-82.7649,753068,14626,613418.0,125024.0,39.0,6442.480601586093,9117984.0,,1.942188487626616,84000039.0,USA,7.800415771958491e-06,,2021-01-07,,,742817,10251.0,14507,119.0
Ohio,US,2021-01-09 05:30:45,40.3888,-82.7649,762603,14767,621185.0,126651.0,39.0,6524.052322248933,9189456.0,,1.9363941657717056,84000039.0,USA,7.861559914792414e-06,,2021-01-08,,,753068,9535.0,14626,141.0
Ohio,US,2021-01-10 05:30:28,40.3888,-82.7649,770977,14899,628964.0,127114.0,39.0,6595.69171279226,9241300.0,,1.932483070182379,84000039.0,USA,7.905912345689573e-06,,2021-01-09,,,762603,8374.0,14767,132.0
Ohio,US,2021-01-11 05:30:40,40.3888,-82.7649,777065,15047,634085.0,127934.0,39.0,6647.774422325072,9274669.0,,1.936260158416606,84000039.0,USA,7.934459453679069e-06,,2021-01-10,,,770977,6088.0,14899,148.0
