Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Oregon,US,2021-01-02 05:30:44,44.572,-122.0709,113909,1477,5870.0,106562.0,41.0,2700.713676552142,2652670.0,,1.2966490795283954,84000041.0,USA,62893.20552703974,,2021-01-01,,,,0.0,,0.0
Oregon,US,2021-01-03 05:30:33,44.572,-122.0709,116348,1492,5870.0,108986.0,41.0,2758.540895271564,2652670.0,,1.282359817100423,84000041.0,USA,62893.20552703974,,2021-01-02,,,113909,2439.0,1477,15.0
Oregon,US,2021-01-04 05:30:45,44.572,-122.0709,117745,1500,5870.0,110375.0,41.0,2791.6629225577603,2652670.0,,1.2739394454116948,84000041.0,USA,62893.20552703974,,2021-01-03,,,116348,1397.0,1492,8.0
Oregon,US,2021-01-05 05:30:33,44.572,-122.0709,118453,1506,5870.0,111077.0,41.0,2808.4491754701635,2722777.0,,1.2713903404725926,84000041.0,USA,64555.40020631918,,2021-01-04,,,117745,708.0,1500,6.0
Oregon,US,2021-01-06 05:30:39,44.572,-122.0709,119488,1550,5870.0,112068.0,41.0,2832.9884011260065,2722777.0,,1.297201392608463,84000041.0,USA,64555.40020631918,,2021-01-05,,,118453,1035.0,1506,44.0
Oregon,US,2021-01-07 05:30:38,44.572,-122.0709,120223,1558,5870.0,112795.0,41.0,2850.414807751171,2741116.0,,1.2959250725734677,84000041.0,USA,64990.20683366459,,2021-01-06,,,119488,735.0,1550,8.0
Oregon,US,2021-01-08 05:30:47,44.572,-122.0709,121085,1568,5870.0,113647.0,41.0,2870.8523077659893,2762331.0,,1.2949580872940496,84000041.0,USA,65493.20168611746,,2021-01-07,,,120223,862.0,1558,10.0
Oregon,US,2021-01-09 05:30:45,44.572,-122.0709,122847,1575,5870.0,115402.0,41.0,2912.628264872845,2786624.0,,1.2820825905394515,84000041.0,USA,66069.17406182509,,2021-01-08,,,121085,1762.0,1568,7.0
Oregon,US,2021-01-10 05:30:28,44.572,-122.0709,124476,1603,5870.0,117003.0,41.0,2951.250872209433,2786624.0,,1.2877984511070406,84000041.0,USA,66069.17406182509,,2021-01-09,,,122847,1629.0,1575,28.0
Oregon,US,2021-01-11 05:30:40,44.572,-122.0709,125683,1604,5870.0,118209.0,41.0,2979.868114109533,2786624.0,,1.2762266973258118,84000041.0,USA,66069.17406182509,,2021-01-10,,,124476,1207.0,1603,1.0
Oregon,US,2021-01-12 05:30:28,44.572,-122.0709,126607,1613,5870.0,119124.0,41.0,3001.775596724025,2839839.0,,1.2740211836628306,84000041.0,USA,67330.86961088375,,2021-01-11,,,125683,924.0,1604,9.0
Oregon,US,2021-01-13 05:30:34,44.572,-122.0709,127780,1667,5870.0,120243.0,41.0,3029.586719133981,2839839.0,,1.3045860071998747,84000041.0,USA,67330.86961088375,,2021-01-12,,,126607,1173.0,1613,54.0
Oregon,US,2021-01-14 05:30:28,44.572,-122.0709,129109,1708,5870.0,121531.0,41.0,3061.09650743989,2856686.0,,1.3229131973758608,84000041.0,USA,67730.30181824992,,2021-01-13,,,127780,1329.0,1667,41.0
Oregon,US,2021-01-15 05:30:28,44.572,-122.0709,130246,1737,5870.0,122639.0,41.0,3088.0540915661645,2874572.0,,1.3336302074535875,84000041.0,USA,68154.36808885902,,2021-01-14,,,129109,1137.0,1708,29.0
Oregon,US,2021-01-16 05:30:49,44.572,-122.0709,131258,1758,5870.0,123630.0,41.0,3112.0480010963224,2895680.0,,1.3393469350439593,84000041.0,USA,68654.82603585762,,2021-01-15,,,130246,1012.0,1737,21.0
Oregon,US,2021-01-17 05:30:35,44.572,-122.0709,132412,1799,5870.0,124743.0,41.0,3139.408644967669,2919566.0,,1.358638189892155,84000041.0,USA,69221.1486870803,,2021-01-16,,,131258,1154.0,1758,41.0
Oregon,US,2021-01-18 05:30:33,44.572,-122.0709,133205,1800,5870.0,125535.0,41.0,3158.2101966054306,2919566.0,,1.3513006268533465,84000041.0,USA,69221.1486870803,,2021-01-17,,,132412,793.0,1799,1.0
Oregon,US,2021-01-19 05:30:28,44.572,-122.0709,133851,1803,5870.0,126178.0,41.0,3173.52646691816,2919566.0,,1.3470201940964206,84000041.0,USA,69221.1486870803,,2021-01-18,,,133205,646.0,1800,3.0
Oregon,US,2021-01-20 05:30:46,44.572,-122.0709,134468,1808,,,41.0,3188.1551647245906,2919566.0,,1.344557813011274,84000041.0,USA,69221.1486870803,,2021-01-19,,,133851,617.0,1803,5.0
