Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Pennsylvania,US,2021-01-02 05:30:44,40.5908,-77.2098,657071,16245,429017.0,211809.0,42.0,5132.56963429667,7607664.0,,2.4723355619103566,84000042.0,USA,30645.581713903983,,2021-01-01,,,,0.0,,0.0
Pennsylvania,US,2021-01-03 05:30:33,40.5908,-77.2098,664966,16273,453531.0,195162.0,42.0,5194.239738840582,7675010.0,,2.4471927888042395,84000042.0,USA,30829.584371616005,,2021-01-02,,,657071,7895.0,16245,28.0
Pennsylvania,US,2021-01-04 05:30:45,40.5908,-77.2098,669818,16331,453531.0,199956.0,42.0,5232.140099479854,7715509.0,,2.4381249832043927,84000042.0,USA,30926.311528622624,,2021-01-03,,,664966,4852.0,16273,58.0
Pennsylvania,US,2021-01-05 05:30:33,40.5908,-77.2098,673448,16432,465567.0,191449.0,42.0,5260.495068383514,7735808.0,,2.439980518169183,84000042.0,USA,30981.77166063804,,2021-01-04,,,669818,3630.0,16331,101.0
Pennsylvania,US,2021-01-06 05:30:39,40.5908,-77.2098,682182,16631,471740.0,193811.0,42.0,5328.718842048685,7794549.0,,2.437912463242947,84000042.0,USA,31159.603402252567,,2021-01-05,,,673448,8734.0,16432,199.0
Pennsylvania,US,2021-01-07 05:30:38,40.5908,-77.2098,692111,16989,485206.0,189916.0,42.0,5406.277102722085,7853300.0,,2.4546640640012947,84000042.0,USA,31325.95255315405,,2021-01-06,,,682182,9929.0,16631,358.0
Pennsylvania,US,2021-01-08 05:30:47,40.5908,-77.2098,701578,17251,499022.0,185305.0,42.0,5480.226549171382,7904802.0,,2.4588855408807,84000042.0,USA,31485.75584622045,,2021-01-07,,,692111,9467.0,16989,262.0
Pennsylvania,US,2021-01-09 05:30:45,40.5908,-77.2098,712142,17458,513383.0,181301.0,42.0,5562.7449765813735,7975747.0,,2.4514773738945324,84000042.0,USA,31679.78038412625,,2021-01-08,,,701578,10564.0,17251,207.0
Pennsylvania,US,2021-01-10 05:30:28,40.5908,-77.2098,721820,17710,520490.0,183620.0,42.0,5638.342604418735,8048586.0,,2.4535202682109114,84000042.0,USA,31877.10128480817,,2021-01-09,,,712142,9678.0,17458,252.0
Pennsylvania,US,2021-01-11 05:30:40,40.5908,-77.2098,729133,17804,520490.0,190839.0,42.0,5695.466540394622,8106628.0,,2.441804170158256,84000042.0,USA,32044.075338605588,,2021-01-10,,,721820,7313.0,17710,94.0
Pennsylvania,US,2021-01-12 05:30:28,40.5908,-77.2098,734369,17892,537353.0,179124.0,42.0,5736.366434934446,8145981.0,,2.436377352529859,84000042.0,USA,32170.001083425395,,2021-01-11,,,729133,5236.0,17804,88.0
Pennsylvania,US,2021-01-13 05:30:34,40.5908,-77.2098,741976,18137,542737.0,181102.0,42.0,5795.786889052944,8198497.0,,2.444418687396897,84000042.0,USA,32312.08056810548,,2021-01-12,,,734369,7607.0,17892,245.0
Pennsylvania,US,2021-01-14 05:30:28,40.5908,-77.2098,750160,18484,556041.0,175635.0,42.0,5859.714455308468,8255043.0,,2.4640076783619493,84000042.0,USA,32477.461119518222,,2021-01-13,,,741976,8184.0,18137,347.0
Pennsylvania,US,2021-01-15 05:30:28,40.5908,-77.2098,756691,18784,568908.0,168999.0,42.0,5910.729965476458,8307622.0,,2.482387130281713,84000042.0,USA,32624.14145176972,,2021-01-14,,,750160,6531.0,18484,300.0
Pennsylvania,US,2021-01-16 05:30:49,40.5908,-77.2098,763448,19009,573504.0,170935.0,42.0,5963.510826325503,8368848.0,,2.4898879818926765,84000042.0,USA,32769.165791346946,,2021-01-15,,,756691,6757.0,18784,225.0
Pennsylvania,US,2021-01-17 05:30:35,40.5908,-77.2098,770347,19223,578950.0,172174.0,42.0,6017.400889814856,8433901.0,,2.495368970087506,84000042.0,USA,32940.25639297144,,2021-01-16,,,763448,6899.0,19009,214.0
