Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Puerto Rico,US,2021-01-02 05:30:44,18.2208,-66.5901,77054,1521,66930.0,8603.0,72.0,2412.69201119456,1386353.0,,1.973940353518312,630.0,PRI,43409.07425695762,,2021-01-01,,,,0.0,,0.0
Puerto Rico,US,2021-01-03 05:30:33,18.2208,-66.5901,77932,1526,68340.0,8066.0,72.0,2440.1836869781514,1386825.0,,1.9581173330595905,630.0,PRI,43423.85338106907,,2021-01-02,,,77054,878.0,1521,5.0
Puerto Rico,US,2021-01-04 05:30:45,18.2208,-66.5901,78169,1545,68661.0,7963.0,72.0,2447.604560737504,1388451.0,,1.976486842610242,630.0,PRI,43474.76621116488,,2021-01-03,,,77932,237.0,1526,19.0
Puerto Rico,US,2021-01-05 05:30:33,18.2208,-66.5901,78805,1555,69699.0,7551.0,72.0,2467.5188042436125,1389158.0,,1.973225049172007,630.0,PRI,43496.90358562843,,2021-01-04,,,78169,636.0,1545,10.0
Puerto Rico,US,2021-01-06 05:30:39,18.2208,-66.5901,79319,1562,70374.0,7383.0,72.0,2483.613019907355,1400027.0,,1.9692633543035083,630.0,PRI,43837.23049233897,,2021-01-05,,,78805,514.0,1555,7.0
Puerto Rico,US,2021-01-07 05:30:38,18.2208,-66.5901,79612,1570,70374.0,7668.0,72.0,2492.7873490697607,1407714.0,,1.9720645128875045,630.0,PRI,44077.9235581117,,2021-01-06,,,79319,293.0,1562,8.0
Puerto Rico,US,2021-01-08 05:30:47,18.2208,-66.5901,79898,1588,70374.0,7936.0,72.0,2501.7424963067847,1408348.0,,1.987534105985131,630.0,PRI,44097.77517821056,,2021-01-07,,,79612,286.0,1570,18.0
Puerto Rico,US,2021-01-09 05:30:45,18.2208,-66.5901,82067,1592,72747.0,7728.0,72.0,2569.6575814714874,1420147.0,,1.939878392045524,630.0,PRI,44467.22196929324,,2021-01-08,,,79898,2169.0,1588,4.0
Puerto Rico,US,2021-01-10 05:30:28,18.2208,-66.5901,82630,1616,72747.0,8267.0,72.0,2587.2860706129018,1430197.0,,1.9557061599903185,630.0,PRI,44781.90459073411,,2021-01-09,,,82067,563.0,1592,24.0
Puerto Rico,US,2021-01-11 05:30:40,18.2208,-66.5901,83119,1630,73760.0,7729.0,72.0,2602.597493685995,1433978.0,,1.9610438046656,630.0,PRI,44900.29414214386,,2021-01-10,,,82630,489.0,1616,14.0
Puerto Rico,US,2021-01-12 05:30:28,18.2208,-66.5901,83468,1642,73760.0,8066.0,72.0,2613.5252782514544,1434663.0,,1.967220970911008,630.0,PRI,44921.742659127645,,2021-01-11,,,83119,349.0,1630,12.0
Puerto Rico,US,2021-01-13 05:30:34,18.2208,-66.5901,84427,1645,73760.0,9022.0,72.0,2643.553202028748,1445050.0,,1.9484288201641653,630.0,PRI,45246.97732469047,,2021-01-12,,,83468,959.0,1642,3.0
Puerto Rico,US,2021-01-14 05:30:28,18.2208,-66.5901,84639,1659,73760.0,9220.0,72.0,2650.191283197451,1453801.0,,1.9600893205259984,630.0,PRI,45520.98604312123,,2021-01-13,,,84427,212.0,1645,14.0
Puerto Rico,US,2021-01-15 05:30:28,18.2208,-66.5901,84816,1679,73760.0,9377.0,72.0,2655.7334547392456,1463048.0,,1.9795793246557247,630.0,PRI,45810.52536655046,,2021-01-14,,,84639,177.0,1659,20.0
Puerto Rico,US,2021-01-16 05:30:49,18.2208,-66.5901,85954,1692,73760.0,10502.0,72.0,2691.3661734655857,1471510.0,,1.9684947762756824,630.0,PRI,46075.48500263332,,2021-01-15,,,84816,1138.0,1679,13.0
Puerto Rico,US,2021-01-17 05:30:35,18.2208,-66.5901,86523,1703,73760.0,11060.0,72.0,2709.1825328287555,1480787.0,,1.9682627740600764,630.0,PRI,46365.96367717133,,2021-01-16,,,85954,569.0,1692,11.0
Puerto Rico,US,2021-01-18 05:30:33,18.2208,-66.5901,87381,1703,73760.0,11918.0,72.0,2736.0479745398275,1484040.0,,1.9489362676096635,630.0,PRI,46467.82064906657,,2021-01-17,,,86523,858.0,1703,0.0
Puerto Rico,US,2021-01-19 05:30:28,18.2208,-66.5901,87939,1703,73760.0,12476.0,72.0,2753.519905163112,1484536.0,,1.9365696676105024,630.0,PRI,46483.35125406504,,2021-01-18,,,87381,558.0,1703,0.0
Puerto Rico,US,2021-01-20 05:30:46,18.2208,-66.5901,88373,1703,73760.0,12910.0,72.0,2767.109184536778,1492208.0,,1.9270591696558903,630.0,PRI,46723.57464428339,,2021-01-19,,,87939,434.0,1703,0.0
Puerto Rico,US,2021-01-21 05:30:34,18.2208,-66.5901,88513,1717,73760.0,13036.0,72.0,2771.492823044412,1501126.0,,1.9398280478573768,630.0,PRI,47002.81241721968,,2021-01-20,,,88373,140.0,1703,14.0
Puerto Rico,US,2021-01-22 05:30:39,18.2208,-66.5901,88728,1732,73760.0,13236.0,72.0,2778.224839323993,1509444.0,,1.9520331800559008,630.0,PRI,47263.2631679804,,2021-01-21,,,88513,215.0,1717,15.0
Puerto Rico,US,2021-01-23 05:30:27,18.2208,-66.5901,89282,1761,73760.0,13761.0,72.0,2795.5715231327736,1517566.0,,1.97240205192536,630.0,PRI,47517.57682483043,,2021-01-22,,,88728,554.0,1732,29.0
Puerto Rico,US,2021-01-24 05:30:28,18.2208,-66.5901,90073,1771,73760.0,14542.0,72.0,2820.3390807009064,1525483.0,,1.9661829849122376,630.0,PRI,47765.47158243714,,2021-01-23,,,89282,791.0,1761,10.0
Puerto Rico,US,2021-01-25 05:30:45,18.2208,-66.5901,91028,1773,73760.0,15495.0,72.0,2850.241757663696,1528169.0,,1.94775233993936,630.0,PRI,47849.57481837647,,2021-01-24,,,90073,955.0,1771,2.0
Puerto Rico,US,2021-01-26 05:30:28,18.2208,-66.5901,91596,1778,78813.0,11005.0,72.0,2868.0268053232403,1528875.0,,1.9411328005589763,630.0,PRI,47871.68088113639,,2021-01-25,,,91028,568.0,1773,5.0
Puerto Rico,US,2021-01-27 05:30:51,18.2208,-66.5901,92069,1783,78813.0,11473.0,72.0,2882.8372411383184,1538335.0,,1.9365910349846311,630.0,PRI,48167.88959743795,,2021-01-26,,,91596,473.0,1778,5.0
Puerto Rico,US,2021-01-28 05:30:28,18.2208,-66.5901,92244,1794,78813.0,11637.0,72.0,2888.3167892728607,1546444.0,,1.944841940939248,630.0,PRI,48421.796202140846,,2021-01-27,,,92069,175.0,1783,11.0
Puerto Rico,US,2021-01-29 05:30:28,18.2208,-66.5901,92541,1801,78813.0,11927.0,72.0,2897.6163652497703,1553564.0,,1.9461644028052432,630.0,PRI,48644.73553195767,,2021-01-28,,,92244,297.0,1794,7.0
Puerto Rico,US,2021-01-30 05:30:40,18.2208,-66.5901,92968,1812,78813.0,12343.0,72.0,2910.9864626980543,1560638.0,,1.949057740297737,630.0,PRI,48866.23452340769,,2021-01-29,,,92541,427.0,1801,11.0
Puerto Rico,US,2021-01-31 05:30:41,18.2208,-66.5901,93406,1823,78813.0,12770.0,72.0,2924.700988886224,1568366.0,,1.95169475194313,630.0,PRI,49108.21136902909,,2021-01-30,,,92968,438.0,1812,11.0
Puerto Rico,US,2021-02-01 05:30:44,18.2208,-66.5901,93624,1829,78813.0,12982.0,72.0,2931.5269402766826,1570561.0,,1.9535589165171323,630.0,PRI,49176.94055848807,,2021-01-31,,,93406,218.0,1823,6.0
Puerto Rico,US,2021-02-02 05:30:40,18.2208,-66.5901,94238,1836,78813.0,13589.0,72.0,2950.7523263030207,1571135.0,,1.948258664233112,630.0,PRI,49194.91347636937,,2021-02-01,,,93624,614.0,1829,7.0
Puerto Rico,US,2021-02-03 05:30:38,18.2208,-66.5901,94526,1846,78813.0,13867.0,72.0,2959.7700969472967,1579646.0,,1.952901847110848,630.0,PRI,49461.407385929895,,2021-02-02,,,94238,288.0,1836,10.0
Puerto Rico,US,2021-02-04 05:30:42,18.2208,-66.5901,94662,1853,78813.0,13996.0,72.0,2964.028488640427,1586451.0,,1.9574908622256024,630.0,PRI,49674.48352910454,,2021-02-03,,,94526,136.0,1846,7.0
Puerto Rico,US,2021-02-05 05:30:47,18.2208,-66.5901,94984,1861,83579.0,9544.0,72.0,2974.1108572079856,1592478.0,,1.9592773519750688,630.0,PRI,49863.19916685819,,2021-02-04,,,94662,322.0,1853,8.0
Puerto Rico,US,2021-02-06 05:30:40,18.2208,-66.5901,95064,1867,84629.0,8568.0,72.0,2976.615793498062,1598388.0,,1.9639400824707565,630.0,PRI,50048.2513352876,,2021-02-05,,,94984,80.0,1861,6.0
Puerto Rico,US,2021-02-07 05:30:57,18.2208,-66.5901,95355,1872,84659.0,8824.0,72.0,2985.727499253216,1604537.0,,1.96319018404908,630.0,PRI,50240.78700088362,,2021-02-06,,,95064,291.0,1867,5.0
Puerto Rico,US,2021-02-08 05:30:33,18.2208,-66.5901,95839,1883,84935.0,9021.0,72.0,3000.8823638081794,1606499.0,,1.964753388495289,630.0,PRI,50302.22056339774,,2021-02-07,,,95355,484.0,1872,11.0
