Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Rhode Island,US,2021-01-02 05:30:44,41.6809,-71.5118,87949,1944,5381.0,80624.0,44.0,8302.080216281325,1974498.0,,2.210371920090052,84000044.0,USA,186385.75518638128,,2021-01-01,,,,0.0,,0.0
Rhode Island,US,2021-01-03 05:30:33,41.6809,-71.5118,87949,1957,5381.0,80611.0,44.0,8302.080216281325,1974498.0,,2.225153213794358,84000044.0,USA,186385.75518638128,,2021-01-02,,,87949,0.0,1944,13.0
Rhode Island,US,2021-01-04 05:30:45,41.6809,-71.5118,87949,1974,5381.0,80594.0,44.0,8302.080216281325,1974498.0,,2.24448259786922,84000044.0,USA,186385.75518638128,,2021-01-03,,,87949,0.0,1957,17.0
Rhode Island,US,2021-01-05 05:30:33,41.6809,-71.5118,92708,1992,5636.0,85080.0,44.0,8751.313291691878,2046375.0,,2.148681882901152,84000044.0,USA,193170.6944091768,,2021-01-04,,,87949,4759.0,1974,18.0
Rhode Island,US,2021-01-06 05:30:39,41.6809,-71.5118,93852,2005,5682.0,86165.0,44.0,8859.302919401413,2059444.0,,2.136342326215744,84000044.0,USA,194404.36262992505,,2021-01-05,,,92708,1144.0,1992,13.0
Rhode Island,US,2021-01-07 05:30:38,41.6809,-71.5118,95463,2024,5743.0,87696.0,44.0,9011.375725555312,2079925.0,,2.120193163843584,84000044.0,USA,196337.69791412,,2021-01-06,,,93852,1611.0,2005,19.0
Rhode Island,US,2021-01-08 05:30:47,41.6809,-71.5118,96591,2035,5794.0,88762.0,44.0,9117.855008821356,2099745.0,,2.106821546520897,84000044.0,USA,198208.6370934932,,2021-01-07,,,95463,1128.0,2024,11.0
Rhode Island,US,2021-01-09 05:30:45,41.6809,-71.5118,97614,2048,5860.0,89706.0,44.0,9214.422656676998,2115967.0,,2.0980597045505767,84000044.0,USA,199739.93756613656,,2021-01-08,,,96591,1023.0,2035,13.0
Rhode Island,US,2021-01-10 05:30:28,41.6809,-71.5118,97614,2062,5860.0,89692.0,44.0,9214.422656676998,2115967.0,,2.112401909562153,84000044.0,USA,199739.93756613656,,2021-01-09,,,97614,0.0,2048,14.0
Rhode Island,US,2021-01-11 05:30:40,41.6809,-71.5118,97614,2074,5860.0,89680.0,44.0,9214.422656676998,2115967.0,,2.124695228143504,84000044.0,USA,199739.93756613656,,2021-01-10,,,97614,0.0,2062,12.0
Rhode Island,US,2021-01-12 05:30:28,41.6809,-71.5118,100607,2095,6000.0,92512.0,44.0,9496.951464137344,2166820.0,,2.082360074348703,84000044.0,USA,204540.2841901864,,2021-01-11,,,97614,2993.0,2074,21.0
