Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
South Carolina,US,2021-01-02 05:30:44,33.8569,-80.945,307507,5296,151084.0,151127.0,45.0,5972.501094448051,3173021.0,,1.7222372173641576,84000045.0,USA,61627.44716447641,,2021-01-01,,,,0.0,,0.0
South Carolina,US,2021-01-03 05:30:33,33.8569,-80.945,312718,5385,152535.0,154798.0,45.0,6073.710833423647,3204255.0,,1.7219987336833824,84000045.0,USA,62234.08408390911,,2021-01-02,,,307507,5211.0,5296,89.0
South Carolina,US,2021-01-04 05:30:45,33.8569,-80.945,321669,5469,154943.0,161257.0,45.0,6247.560070339895,3261427.0,,1.700194920865859,84000045.0,USA,63344.49728611844,,2021-01-03,,,312718,8951.0,5385,84.0
South Carolina,US,2021-01-05 05:30:33,33.8569,-80.945,325472,5484,156090.0,163898.0,45.0,6321.423174796658,3282238.0,,1.6849375675941405,84000045.0,USA,63748.69530527429,,2021-01-04,,,321669,3803.0,5469,15.0
South Carolina,US,2021-01-06 05:30:39,33.8569,-80.945,328073,5498,157106.0,165469.0,45.0,6371.94064381902,3298481.0,,1.675846534155508,84000045.0,USA,64064.17214084915,,2021-01-05,,,325472,2601.0,5484,14.0
South Carolina,US,2021-01-07 05:30:38,33.8569,-80.945,333235,5582,158273.0,169380.0,45.0,6472.19868883764,3326876.0,,1.675094152775069,84000045.0,USA,64615.66907775418,,2021-01-06,,,328073,5162.0,5498,84.0
South Carolina,US,2021-01-08 05:30:47,33.8569,-80.945,338112,5661,159700.0,172751.0,45.0,6566.921371045275,3356854.0,,1.6742972742759796,84000045.0,USA,65197.91155616723,,2021-01-07,,,333235,4877.0,5582,79.0
South Carolina,US,2021-01-09 05:30:45,33.8569,-80.945,344176,5695,164575.0,173906.0,45.0,6684.698353802522,3398114.0,,1.6546766770489516,84000045.0,USA,65999.27671259269,,2021-01-08,,,338112,6064.0,5661,34.0
South Carolina,US,2021-01-10 05:30:28,33.8569,-80.945,350084,5758,162451.0,181875.0,45.0,6799.445453757968,3434733.0,,1.6447481175946344,84000045.0,USA,66710.50285566454,,2021-01-09,,,344176,5908.0,5695,63.0
South Carolina,US,2021-01-11 05:30:40,33.8569,-80.945,354525,5811,163716.0,184998.0,45.0,6885.700001981078,3466585.0,,1.639094563147874,84000045.0,USA,67329.14277235053,,2021-01-10,,,350084,4441.0,5758,53.0
South Carolina,US,2021-01-12 05:30:28,33.8569,-80.945,357654,5826,165305.0,186523.0,45.0,6946.472458948001,3488615.0,,1.6289486486939893,84000045.0,USA,67757.01660647689,,2021-01-11,,,354525,3129.0,5811,15.0
South Carolina,US,2021-01-13 05:30:34,33.8569,-80.945,359357,5860,166724.0,186773.0,45.0,6979.548679534346,3498188.0,,1.6306903719699353,84000045.0,USA,67942.94652994903,,2021-01-12,,,357654,1703.0,5826,34.0
South Carolina,US,2021-01-14 05:30:28,33.8569,-80.945,365378,5911,168440.0,191027.0,45.0,7096.490502288532,3535436.0,,1.617776658693189,84000045.0,USA,68666.38931585634,,2021-01-13,,,359357,6021.0,5860,51.0
South Carolina,US,2021-01-15 05:30:28,33.8569,-80.945,371180,5934,170072.0,195174.0,45.0,7209.178835724804,3576120.0,,1.5986852739910555,84000045.0,USA,69456.56721270594,,2021-01-14,,,365378,5802.0,5911,23.0
South Carolina,US,2021-01-16 05:30:49,33.8569,-80.945,375967,6037,171539.0,198391.0,45.0,7302.153508623707,3609752.0,,1.6057260344657909,84000045.0,USA,70109.77886905351,,2021-01-15,,,371180,4787.0,5934,103.0
South Carolina,US,2021-01-17 05:30:35,33.8569,-80.945,382422,6108,173075.0,203239.0,45.0,7427.524620711113,3663312.0,,1.5971884462713966,84000045.0,USA,71150.03863100572,,2021-01-16,,,375967,6455.0,6037,71.0
South Carolina,US,2021-01-18 05:30:33,33.8569,-80.945,388184,6237,174706.0,207241.0,45.0,7539.436061121282,3713908.0,,1.606712280774066,84000045.0,USA,72132.73061972368,,2021-01-17,,,382422,5762.0,6108,129.0
South Carolina,US,2021-01-19 05:30:28,33.8569,-80.945,391464,6248,176129.0,209087.0,45.0,7603.141289261745,3745465.0,,1.596059918664296,84000045.0,USA,72745.64095034216,,2021-01-18,,,388184,3280.0,6237,11.0
South Carolina,US,2021-01-20 05:30:46,33.8569,-80.945,394318,6259,177738.0,210321.0,45.0,7658.57260667421,3772941.0,,1.587297561866311,84000045.0,USA,73279.28876997247,,2021-01-19,,,391464,2854.0,6248,11.0
South Carolina,US,2021-01-21 05:30:34,33.8569,-80.945,399843,6328,179632.0,213883.0,45.0,7765.880955904717,3823586.0,,1.582621178812684,84000045.0,USA,74262.93245264741,,2021-01-20,,,394318,5525.0,6259,69.0
South Carolina,US,2021-01-22 05:30:39,33.8569,-80.945,404492,6373,181322.0,216797.0,45.0,7856.175347863564,3862267.0,,1.575556500499392,84000045.0,USA,75014.20743121486,,2021-01-21,,,399843,4649.0,6328,45.0
South Carolina,US,2021-01-23 05:30:27,33.8569,-80.945,409188,6404,183146.0,219638.0,45.0,7947.382589128081,3900531.0,,1.5650507835029377,84000045.0,USA,75757.3832999852,,2021-01-22,,,404492,4696.0,6373,31.0
South Carolina,US,2021-01-24 05:30:28,33.8569,-80.945,413789,6479,184542.0,222768.0,45.0,8036.744709455604,3944118.0,,1.5657738605907845,84000045.0,USA,76603.94420820422,,2021-01-23,,,409188,4601.0,6404,75.0
South Carolina,US,2021-01-25 05:30:45,33.8569,-80.945,418325,6547,186248.0,225530.0,45.0,8124.844378615709,3985112.0,,1.5650510966353912,84000045.0,USA,77400.1430260061,,2021-01-24,,,413789,4536.0,6479,68.0
South Carolina,US,2021-01-26 05:30:28,33.8569,-80.945,421417,6552,187423.0,227442.0,45.0,8184.898209533488,4021106.0,,1.554754554277592,84000045.0,USA,78099.23021554509,,2021-01-25,,,418325,3092.0,6547,5.0
South Carolina,US,2021-01-27 05:30:51,33.8569,-80.945,423667,6578,188788.0,228301.0,45.0,8228.598442251794,4048626.0,,1.552634498320615,84000045.0,USA,78633.7326175041,,2021-01-26,,,421417,2250.0,6552,26.0
South Carolina,US,2021-01-28 05:30:28,33.8569,-80.945,427231,6673,190336.0,230222.0,45.0,8297.81961087759,4072097.0,,1.5619184937422612,84000045.0,USA,79089.59402289582,,2021-01-27,,,423667,3564.0,6578,95.0
South Carolina,US,2021-01-29 05:30:28,33.8569,-80.945,431169,6903,191902.0,232364.0,45.0,8374.304729297452,4099194.0,,1.6009963610556417,84000045.0,USA,79615.88078110378,,2021-01-28,,,427231,3938.0,6673,230.0
South Carolina,US,2021-01-30 05:30:40,33.8569,-80.945,435633,6942,193525.0,235166.0,45.0,8461.00599101057,4147778.0,,1.5935431888768756,84000045.0,USA,80559.49505060875,,2021-01-29,,,431169,4464.0,6903,39.0
South Carolina,US,2021-01-31 05:30:41,33.8569,-80.945,439785,7014,194982.0,237789.0,45.0,8541.647487120084,4188261.0,,1.594870220676012,84000045.0,USA,81345.76906000217,,2021-01-30,,,435633,4152.0,6942,72.0
South Carolina,US,2021-02-01 05:30:44,33.8569,-80.945,443386,7042,196661.0,239683.0,45.0,8611.587281795028,4227525.0,,1.58823237540202,84000045.0,USA,82108.36725442509,,2021-01-31,,,439785,3601.0,7014,28.0
South Carolina,US,2021-02-02 05:30:40,33.8569,-80.945,445916,7283,197810.0,240823.0,45.0,8660.725765696056,4258793.0,,1.6332672521282037,84000045.0,USA,82715.66453292996,,2021-02-01,,,443386,2530.0,7042,241.0
South Carolina,US,2021-02-03 05:30:38,33.8569,-80.945,447904,7318,199045.0,241541.0,45.0,8699.337349093385,4284337.0,,1.6338322497678073,84000045.0,USA,83211.78841939947,,2021-02-02,,,445916,1988.0,7283,35.0
South Carolina,US,2021-02-04 05:30:42,33.8569,-80.945,450794,7394,200634.0,242766.0,45.0,8755.467870229342,4300686.0,,1.6402170392684907,84000045.0,USA,83529.32402149352,,2021-02-03,,,447904,2890.0,7318,76.0
South Carolina,US,2021-02-05 05:30:47,33.8569,-80.945,453878,7487,202372.0,244019.0,45.0,8815.3663225419,4325898.0,,1.649562217159677,84000045.0,USA,84018.99969584637,,2021-02-04,,,450794,3084.0,7394,93.0
South Carolina,US,2021-02-06 05:30:40,33.8569,-80.945,459974,7553,203808.0,248613.0,45.0,8933.76481972003,4391292.0,,1.6420493332231825,84000045.0,USA,85289.10325957122,,2021-02-05,,,453878,6096.0,7487,66.0
South Carolina,US,2021-02-07 05:30:57,33.8569,-80.945,462981,7611,205514.0,249856.0,45.0,8992.16775295734,4426262.0,,1.6439119531903037,84000045.0,USA,85968.30198764196,,2021-02-06,,,459974,3007.0,7553,58.0
South Carolina,US,2021-02-08 05:30:33,33.8569,-80.945,466373,7651,207101.0,251621.0,45.0,9058.048281570893,4463062.0,,1.6405323635802245,84000045.0,USA,86683.04357165692,,2021-02-07,,,462981,3392.0,7611,40.0
South Carolina,US,2021-02-09 05:30:43,33.8569,-80.945,468403,7690,208593.0,252120.0,45.0,9097.47560264563,4494804.0,,1.641748665145185,84000045.0,USA,87299.54703252114,,2021-02-08,,,466373,2030.0,7651,39.0
South Carolina,US,2021-02-10 05:30:29,33.8569,-80.945,470311,7693,209900.0,252718.0,45.0,9134.533399990754,4514722.0,,1.6357261471664497,84000045.0,USA,87686.40091486923,,2021-02-09,,,468403,1908.0,7690,3.0
South Carolina,US,2021-02-11 05:30:49,33.8569,-80.945,473140,7742,211845.0,253553.0,45.0,9189.479159261906,4534832.0,,1.636302151583041,84000045.0,USA,88076.98388374262,,2021-02-10,,,470311,2829.0,7693,49.0
South Carolina,US,2021-02-12 05:30:51,33.8569,-80.945,476287,7837,213484.0,254966.0,45.0,9250.601218090576,4556983.0,,1.6454364700275257,84000045.0,USA,88507.20781927292,,2021-02-11,,,473140,3147.0,7742,95.0
South Carolina,US,2021-02-13 05:30:30,33.8569,-80.945,480157,7894,215306.0,256957.0,45.0,9325.765618366062,4595965.0,,1.6440455934204854,84000045.0,USA,89264.32891786181,,2021-02-12,,,476287,3870.0,7837,57.0
South Carolina,US,2021-02-14 05:30:42,33.8569,-80.945,483140,7911,217023.0,258206.0,45.0,9383.70241578771,4631748.0,,1.6374135861241048,84000045.0,USA,89959.3179966881,,2021-02-13,,,480157,2983.0,7894,17.0
South Carolina,US,2021-02-15 05:31:10,33.8569,-80.945,487293,7998,218717.0,260578.0,45.0,9464.363334222877,4672026.0,,1.6413123110736252,84000045.0,USA,90741.61042932274,,2021-02-14,,,483140,4153.0,7911,87.0
