Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
South Dakota,US,2021-01-02 05:30:44,44.2998,-99.4388,99164,1488,91980.0,5696.0,46.0,11209.290811487816,597286.0,,1.5005445524585534,84000046.0,USA,6.751595812623847e-06,,2021-01-01,,,,0.0,,0.0
South Dakota,US,2021-01-03 05:30:33,44.2998,-99.4388,99829,1501,92595.0,5733.0,46.0,11284.461018313272,599967.0,,1.5035711065922728,84000046.0,USA,6.78190127495453e-06,,2021-01-02,,,99164,665.0,1488,13.0
South Dakota,US,2021-01-04 05:30:45,44.2998,-99.4388,100532,1513,93031.0,5988.0,46.0,11363.926665528752,601226.0,,1.5049934349261926,84000046.0,USA,6.796132747194117e-06,,2021-01-03,,,99829,703.0,1501,12.0
South Dakota,US,2021-01-05 05:30:33,44.2998,-99.4388,100643,1513,93099.0,6031.0,46.0,11376.473872983828,602460.0,,1.5033335651759188,84000046.0,USA,6.810081624671201e-06,,2021-01-04,,,100532,111.0,1513,0.0
South Dakota,US,2021-01-06 05:30:39,44.2998,-99.4388,101076,1513,93529.0,6034.0,46.0,11425.419285849124,603392.0,,1.4968934267284024,84000046.0,USA,6.820616757417265e-06,,2021-01-05,,,100643,433.0,1513,0.0
South Dakota,US,2021-01-07 05:30:38,44.2998,-99.4388,101684,1519,93778.0,6387.0,46.0,11494.14633208954,605714.0,,1.4938436725541877,84000046.0,USA,6.846864158958424e-06,,2021-01-06,,,101076,608.0,1513,6.0
South Dakota,US,2021-01-08 05:30:47,44.2998,-99.4388,102132,1544,94513.0,6075.0,46.0,11544.787313529849,607942.0,,1.5117690831472996,84000046.0,USA,6.872049004192575e-06,,2021-01-07,,,101684,448.0,1519,25.0
South Dakota,US,2021-01-09 05:30:45,44.2998,-99.4388,102580,1556,95783.0,5241.0,46.0,11595.428294970152,610790.0,,1.516864885942679,84000046.0,USA,6.904242199536771e-06,,2021-01-08,,,102132,448.0,1544,12.0
South Dakota,US,2021-01-10 05:30:28,44.2998,-99.4388,102901,1570,96291.0,5040.0,46.0,11631.713462475373,613696.0,,1.5257383310171913,84000046.0,USA,6.9370910147299694e-06,,2021-01-09,,,102580,321.0,1556,14.0
South Dakota,US,2021-01-11 05:30:40,44.2998,-99.4388,103318,1585,96693.0,5040.0,46.0,11678.850268860657,615506.0,,1.5340986081805688,84000046.0,USA,6.957550875535093e-06,,2021-01-10,,,102901,417.0,1570,15.0
South Dakota,US,2021-01-12 05:30:28,44.2998,-99.4388,103499,1585,96812.0,5102.0,46.0,11699.31012966578,617105.0,,1.531415762471135,84000046.0,USA,6.975625636544702e-06,,2021-01-11,,,103318,181.0,1585,0.0
South Dakota,US,2021-01-13 05:30:34,44.2998,-99.4388,103743,1585,97407.0,4751.0,46.0,11726.891378485949,617976.0,,1.5278139247949258,84000046.0,USA,6.985471238070262e-06,,2021-01-12,,,103499,244.0,1585,0.0
South Dakota,US,2021-01-14 05:30:28,44.2998,-99.4388,104195,1604,97829.0,4762.0,46.0,11777.984511546258,620320.0,,1.5394212774125438,84000046.0,USA,7.011967323002423e-06,,2021-01-13,,,103743,452.0,1585,19.0
South Dakota,US,2021-01-15 05:30:28,44.2998,-99.4388,104512,1614,98170.0,4728.0,46.0,11813.817527431474,622598.0,,1.5443202694427434,84000046.0,USA,7.037717357761578e-06,,2021-01-14,,,104195,317.0,1604,10.0
South Dakota,US,2021-01-16 05:30:49,44.2998,-99.4388,104937,1629,98576.0,4732.0,46.0,11861.858637056765,625111.0,,1.552359987421024,84000046.0,USA,7.06612378328825e-06,,2021-01-15,,,104512,425.0,1614,15.0
South Dakota,US,2021-01-17 05:30:35,44.2998,-99.4388,105278,1633,98808.0,4837.0,46.0,11900.404562661995,627435.0,,1.5511312904880412,84000046.0,USA,7.092393792410409e-06,,2021-01-16,,,104937,341.0,1629,4.0
South Dakota,US,2021-01-18 05:30:33,44.2998,-99.4388,105544,1656,99226.0,4662.0,46.0,11930.47264539218,629331.0,,1.5690138709921928,84000046.0,USA,7.113825779198539e-06,,2021-01-17,,,105278,266.0,1633,23.0
