Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate,prevValue_Confirmed,diff_Confirmed,prevValue_Deaths,diff_Deaths
Tennessee,US,2021-01-02 05:30:44,35.7478,-86.6923,592168,6955,508914.0,76463.0,47.0,8673.55261412288,5644058.0,,1.1741725923975068,84000047.0,USA,82646.27610894085,,2021-01-01,,,,0.0,,0.0
Tennessee,US,2021-01-03 05:30:33,35.7478,-86.6923,599352,6970,523089.0,69462.0,47.0,8778.821567586358,5718900.0,,1.1625948048525403,84000047.0,USA,83742.1919546932,,2021-01-02,,,592168,7184.0,6955,15.0
Tennessee,US,2021-01-04 05:30:45,35.7478,-86.6923,602854,7025,526966.0,69039.0,47.0,8830.204062746096,5735403.0,,1.1649503341458969,84000047.0,USA,83983.84636267871,,2021-01-03,,,599352,3502.0,6970,55.0
Tennessee,US,2021-01-05 05:30:33,35.7478,-86.6923,606893,7168,530494.0,69411.0,47.0,8889.405951583603,5751015.0,,1.1807476201379403,84000047.0,USA,84212.45380480861,,2021-01-04,,,602854,4039.0,7025,143.0
Tennessee,US,2021-01-06 05:30:39,35.7478,-86.6923,615282,7267,539207.0,68992.0,47.0,9012.305148470372,5766988.0,,1.18073134827919,84000047.0,USA,84446.34739135363,,2021-01-05,,,606893,8389.0,7168,99.0
Tennessee,US,2021-01-07 05:30:38,35.7478,-86.6923,622625,7381,548838.0,66598.0,47.0,9119.94627754396,5799089.0,,1.1850993148870377,84000047.0,USA,84916.40423863853,,2021-01-06,,,615282,7343.0,7267,114.0
Tennessee,US,2021-01-08 05:30:47,35.7478,-86.6923,629945,7492,555634.0,67023.0,47.0,9227.30918849044,5840819.0,,1.188925158970339,84000047.0,USA,85527.45910413178,,2021-01-07,,,622625,7320.0,7381,111.0
Tennessee,US,2021-01-09 05:30:45,35.7478,-86.6923,635990,7618,559625.0,68958.0,47.0,9315.92898350518,5875526.0,,1.1974203121340583,84000047.0,USA,86035.67576400892,,2021-01-08,,,629945,6045.0,7492,126.0
Tennessee,US,2021-01-10 05:30:28,35.7478,-86.6923,643187,7704,560642.0,75063.0,47.0,9421.47615509577,5908921.0,,1.1973721225534613,84000047.0,USA,86524.68073005608,,2021-01-09,,,635990,7197.0,7618,86.0
Tennessee,US,2021-01-11 05:30:40,35.7478,-86.6923,648552,7785,565197.0,75800.0,47.0,9500.153312831098,5948059.0,,1.1999408121680315,84000047.0,USA,87097.78078578756,,2021-01-10,,,643187,5365.0,7704,81.0
Tennessee,US,2021-01-12 05:30:28,35.7478,-86.6923,652324,7865,568910.0,75785.0,47.0,9555.474790948365,5969654.0,,1.2052531567978424,84000047.0,USA,87413.997651839,,2021-01-11,,,648552,3772.0,7785,80.0
Tennessee,US,2021-01-13 05:30:34,35.7478,-86.6923,657056,8011,579345.0,69940.0,47.0,9624.824319895788,5986016.0,,1.2187811883839244,84000047.0,USA,87653.58738846016,,2021-01-12,,,652324,4732.0,7865,146.0
Tennessee,US,2021-01-14 05:30:28,35.7478,-86.6923,661158,8148,588974.0,64288.0,47.0,9685.065865945136,6008119.0,,1.2319136390438608,84000047.0,USA,87977.24292864701,,2021-01-13,,,657056,4102.0,8011,137.0
Tennessee,US,2021-01-15 05:30:28,35.7478,-86.6923,667312,8232,596883.0,62447.0,47.0,9775.149966892042,6033531.0,,1.23314388775874,84000047.0,USA,88349.35235212928,,2021-01-14,,,661158,6154.0,8148,84.0
Tennessee,US,2021-01-16 05:30:49,35.7478,-86.6923,670062,8311,602938.0,59070.0,47.0,9815.520881441884,6067669.0,,1.23985744100943,84000047.0,USA,88849.2371112524,,2021-01-15,,,667312,2750.0,8232,79.0
Tennessee,US,2021-01-17 05:30:35,35.7478,-86.6923,676969,8355,605596.0,63284.0,47.0,9916.792279710548,6097151.0,,1.2336928835633123,84000047.0,USA,89280.94378617383,,2021-01-16,,,670062,6907.0,8311,44.0
Tennessee,US,2021-01-18 05:30:33,35.7478,-86.6923,679538,8391,610796.0,60614.0,47.0,9954.36636992995,6128058.0,,1.2343318118096325,84000047.0,USA,89733.51682062868,,2021-01-17,,,676969,2569.0,8355,36.0
Tennessee,US,2021-01-19 05:30:28,35.7478,-86.6923,681151,8430,614720.0,58263.0,47.0,9977.97098155648,6142748.0,,1.2371351882045103,84000047.0,USA,89948.623362064,,2021-01-18,,,679538,1613.0,8391,39.0
Tennessee,US,2021-01-20 05:30:46,35.7478,-86.6923,685932,8470,624306.0,53403.0,47.0,10047.759802283555,6155742.0,,1.234371789285303,84000047.0,USA,90138.89527488976,,2021-01-19,,,681151,4781.0,8430,40.0
